Liczba watkow 4
name;n;r;time
IJK_IKJ_1500_12;1500;12;  0.5800
IJK_IKJ_1500_15;1500;15;  0.4590
IJK_IKJ_1500_20;1500;20;  0.4060
IJK_IKJ_1500_25;1500;25;  0.3920
IJK_IKJ_1500_30;1500;30;  0.3940
IJK_IKJ_1500_50;1500;50;  0.4180
IJK_IKJ_1500_60;1500;60;  0.3970
IJK_IKJ_1500_75;1500;75;  0.3710
IJK_IKJ_1500_100;1500;100;  0.4150
IJK_IKJ_1500_125;1500;125;  0.4410
IJK_IKJ_1500_150;1500;150;  0.4600
IJK_IKJ_1500_250;1500;250;  0.5670
IJK_IKJ_1500_300;1500;300;  0.6240
IJK_IKJ_1500_375;1500;375;  0.3850
IJK_IKJ_1600_10;1600;10;  0.6460
IJK_IKJ_1600_16;1600;16;  0.5100
IJK_IKJ_1600_20;1600;20;  0.4950
IJK_IKJ_1600_25;1600;25;  0.5000
IJK_IKJ_1600_32;1600;32;  0.4560
IJK_IKJ_1600_40;1600;40;  0.5410
IJK_IKJ_1600_50;1600;50;  0.4920
IJK_IKJ_1600_64;1600;64;  0.4890
IJK_IKJ_1600_80;1600;80;  0.4960
IJK_IKJ_1600_100;1600;100;  0.4680
IJK_IKJ_1600_160;1600;160;  0.5660
IJK_IKJ_1600_200;1600;200;  0.4800
IJK_IKJ_1600_320;1600;320;  0.7500
IJK_IKJ_1600_400;1600;400;  0.4740
IJK_IKJ_1700_10;1700;10;  0.7970
IJK_IKJ_1700_17;1700;17;  0.6200
IJK_IKJ_1700_20;1700;20;  0.5930
IJK_IKJ_1700_25;1700;25;  0.6150
IJK_IKJ_1700_34;1700;34;  0.5730
IJK_IKJ_1700_50;1700;50;  0.5470
IJK_IKJ_1700_68;1700;68;  0.5880
IJK_IKJ_1700_85;1700;85;  0.5680
IJK_IKJ_1700_100;1700;100;  0.6780
IJK_IKJ_1700_170;1700;170;  0.7520
IJK_IKJ_1700_340;1700;340;  0.8940
IJK_IKJ_1700_425;1700;425;  0.5660
IJK_IKJ_1800_10;1800;10;  0.9200
IJK_IKJ_1800_12;1800;12;  0.7810
IJK_IKJ_1800_15;1800;15;  0.7760
IJK_IKJ_1800_18;1800;18;  0.7410
IJK_IKJ_1800_20;1800;20;  0.7110
IJK_IKJ_1800_24;1800;24;  0.6610
IJK_IKJ_1800_25;1800;25;  0.6820
IJK_IKJ_1800_30;1800;30;  0.6710
IJK_IKJ_1800_36;1800;36;  0.6760
IJK_IKJ_1800_40;1800;40;  0.6750
IJK_IKJ_1800_45;1800;45;  0.6590
IJK_IKJ_1800_50;1800;50;  0.6240
IJK_IKJ_1800_60;1800;60;  0.6520
IJK_IKJ_1800_72;1800;72;  0.7050
IJK_IKJ_1800_75;1800;75;  0.6410
IJK_IKJ_1800_90;1800;90;  0.6940
IJK_IKJ_1800_100;1800;100;  0.7550
IJK_IKJ_1800_120;1800;120;  0.7110
IJK_IKJ_1800_150;1800;150;  0.7640
IJK_IKJ_1800_180;1800;180;  0.8040
IJK_IKJ_1800_200;1800;200;  0.8920
IJK_IKJ_1800_225;1800;225;  0.7050
IJK_IKJ_1800_300;1800;300;  0.9060
IJK_IKJ_1800_360;1800;360;  1.0540
IJK_IKJ_1800_450;1800;450;  0.6640
IJK_IKJ_1900_10;1900;10;  1.1610
IJK_IKJ_1900_19;1900;19;  0.9030
IJK_IKJ_1900_20;1900;20;  0.9160
IJK_IKJ_1900_25;1900;25;  0.8130
IJK_IKJ_1900_38;1900;38;  0.8230
IJK_IKJ_1900_50;1900;50;  0.7600
IJK_IKJ_1900_76;1900;76;  0.8350
IJK_IKJ_1900_95;1900;95;  0.7980
IJK_IKJ_1900_100;1900;100;  0.8490
IJK_IKJ_1900_190;1900;190;  1.0610
IJK_IKJ_1900_380;1900;380;  1.2310
IJK_IKJ_1900_475;1900;475;  0.7810
IJK_IKJ_2000_10;2000;10;  1.2950
IJK_IKJ_2000_16;2000;16;  1.0030
IJK_IKJ_2000_20;2000;20;  1.1870
IJK_IKJ_2000_25;2000;25;  0.9920
IJK_IKJ_2000_40;2000;40;  1.0620
IJK_IKJ_2000_50;2000;50;  0.9790
IJK_IKJ_2000_80;2000;80;  1.0570
