Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_avg,time_min,time_max,type,n,r
ikj_900,1.0706E+9,451.8E+6,369.6E+6,0,0,210.9E+6,26.86E+6,22.148E+6,3.888E+6,3.632E+6,260E+3,0.1218,0.117,0.127,ikj,900,0
ijk_ikj_1000_50,5.3908E+9,1.5174E+9,1.2548E+9,80E+3,0,1.95E+9,3.8E+6,2.792E+6,984E+3,868E+3,44E+3,0.1141,0.107,0.144,ijk_ikj,1000,50
ijk_ikj_1000_200,4.8638E+9,1.6486E+9,1.3642E+9,40E+3,0,1.70658E+9,34.32E+6,27.772E+6,7.536E+6,7.388E+6,108E+3,0.1965,0.186,0.24,ijk_ikj,1000,200
ikj_1000,1.4788E+9,628.2E+6,504.2E+6,20E+3,0,299.68E+6,37.78E+6,30.532E+6,5.456E+6,4.784E+6,664E+3,0.1845,0.172,0.209,ikj,1000,0
ijk_ikj_1100_55,7.1496E+9,2.0198E+9,1.67E+9,180E+3,0,2.70258E+9,5.76E+6,3.588E+6,1.248E+6,1.104E+6,116E+3,0.1539,0.143,0.198,ijk_ikj,1100,55
ijk_ikj_1100_220,6.4598E+9,2.1836E+9,1.8012E+9,60E+3,20E+3,2.27058E+9,43.82E+6,34.42E+6,10.872E+6,10.752E+6,120E+3,0.2512,0.242,0.268,ijk_ikj,1100,220
ikj_1100,1.9804E+9,900.2E+6,705.2E+6,0,0,384.26E+6,46.52E+6,42.252E+6,8.008E+6,6.236E+6,1.776E+6,0.2393,0.235,0.253,ikj,1100,0
ijk_ikj_1200_60,8.8546E+9,2.5668E+9,2.1216E+9,280E+3,0,3.3916E+9,7.02E+6,4.476E+6,1.372E+6,1.172E+6,140E+3,0.1876,0.182,0.2,ijk_ikj,1200,60
ijk_ikj_1200_240,8.372E+9,2.9582E+9,2.4358E+9,60E+3,0,3.02048E+9,58.28E+6,43.732E+6,14.24E+6,14.1E+6,152E+3,0.3245,0.315,0.36,ijk_ikj,1200,240
ikj_1200,2.5004E+9,1.2646E+9,973.8E+6,80E+3,0,484.08E+6,60.6E+6,52.608E+6,11E+6,7E+6,3.992E+6,0.3387,0.323,0.368,ikj,1200,0
ijk_ikj_1300_65,11.4392E+9,3.3068E+9,2.7354E+9,340E+3,0,4.29206E+9,13.28E+6,9.236E+6,1.82E+6,1.476E+6,236E+3,0.2548,0.235,0.347,ijk_ikj,1300,65
ijk_ikj_1300_260,10.6276E+9,3.6304E+9,2.9802E+9,140E+3,0,3.8233E+9,72.1E+6,54.068E+6,17.528E+6,17.316E+6,188E+3,0.4056,0.398,0.422,ijk_ikj,1300,260
ikj_1300,3.206E+9,1.7242E+9,1.325E+9,820E+3,0,639.18E+6,78.96E+6,63.6E+6,15.488E+6,8.444E+6,7.008E+6,0.4519,0.438,0.469,ikj,1300,0
ijk_ikj_1400_40,14.5804E+9,4.1634E+9,3.4404E+9,1.14E+6,20E+3,5.41558E+9,11.68E+6,7.052E+6,4.224E+6,3.636E+6,440E+3,0.3011,0.294,0.333,ijk_ikj,1400,40
ijk_ikj_1400_280,13.2584E+9,4.6366E+9,3.8052E+9,140E+3,0,4.76678E+9,88.14E+6,67.828E+6,21.532E+6,21.236E+6,224E+3,0.5154,0.493,0.649,ijk_ikj,1400,280
