Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ijk_ikj_900_10,5.9094E+9,1575266667,1.3018E+9,186667,6667,1606073333,11.4E+6,5.228E+6,6521333,6489333,13333,0.1432,0.109,0.196
ijk_ikj_900_12,4903133333,1.3196E+9,1089866667,126667,0,1447006667,7073333,1498667,5713333,5686667,13333,0.1247,0.092,0.159
ijk_ikj_900_15,5168733333,1358866667,1122866667,126667,0,1.55966E+9,5373333,850667,4690667,4.664E+6,17333,0.1247,0.092,0.158
ijk_ikj_900_18,4783466667,1265266667,1045266667,80E+3,0,1499153333,4293333,734667,3605333,3594667,14667,0.1218,0.089,0.178
ijk_ikj_900_20,4301266667,1204933333,995133333,53333,0,1.45716E+9,3866667,682667,2914667,2893333,18667,0.1112,0.086,0.154
ijk_ikj_900_25,4339733333,1.2006E+9,992466667,53333,0,1.49082E+9,3.88E+6,1286667,2.164E+6,2141333,32E+3,0.1092,0.082,0.15
ijk_ikj_900_30,4245066667,1.1486E+9,950.2E+6,53333,0,1502933333,3386667,1498667,1466667,1450667,21333,0.1118,0.084,0.152
ijk_ikj_900_36,3920266667,1.1086E+9,916733333,40E+3,0,1449613333,3.24E+6,1.828E+6,1189333,1158667,22667,0.1084,0.084,0.134
ijk_ikj_900_45,3945066667,1.0944E+9,905066667,40E+3,0,1.46342E+9,2833333,1.812E+6,864E+3,841333,21333,0.1064,0.076,0.149
ijk_ikj_900_50,3.929E+9,1087133333,898.2E+6,20E+3,0,1500853333,2.24E+6,1.372E+6,661333,629333,25333,0.1096,0.084,0.159
ijk_ikj_900_60,3735066667,1110866667,918066667,33333,0,1453573333,3993333,2.924E+6,600E+3,556E+3,30667,0.1085,0.079,0.159
ijk_ikj_900_75,3795066667,1.1396E+9,942.4E+6,20E+3,0,1387073333,11.58E+6,10158667,620E+3,554667,29333,0.1063,0.078,0.153
ijk_ikj_900_90,3721133333,1180666667,975.8E+6,26667,0,1285586667,27073333,27.024E+6,594667,544E+3,42667,0.1245,0.097,0.173
ijk_ikj_900_100,3626133333,1200333333,993E+6,33333,0,1.27726E+9,28753333,27514667,748E+3,689333,52E+3,0.1261,0.108,0.18
ijk_ikj_900_150,3.6182E+9,1200733333,992066667,13333,0,1227426667,24.1E+6,23673333,2.64E+6,2.564E+6,52E+3,0.1373,0.111,0.165
ijk_ikj_900_180,3554733333,1235266667,1.0212E+9,6667,0,1266706667,24.38E+6,20002667,4505333,4.44E+6,58667,0.1574,0.133,0.191
ijk_ikj_900_225,3.5594E+9,1218866667,1.0074E+9,6667,0,1252713333,23.92E+6,18654667,5834667,5765333,61333,0.1111,0.085,0.149
ijk_ikj_950_10,6950466667,1.827E+9,1509933333,246667,0,1937706667,13833333,5.324E+6,8209333,8.164E+6,18667,0.1714,0.128,0.222
ijk_ikj_950_19,5.6442E+9,1551066667,1281733333,113333,0,1888093333,5.32E+6,840E+3,4033333,3986667,29333,0.1405,0.109,0.182
ijk_ikj_950_25,5104066667,1.4E+9,1156333333,80E+3,0,1749433333,4486667,1401333,2577333,2549333,36E+3,0.1333,0.1,0.176
