Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	Read req L3	L3 misses
multiply_matrices_ijk_ikj_900_450(void)	OMPMul.exe	363	1440	89	2083	3460	19	3	405	21
multiply_matrices_ijk_ikj_900_300(void)	OMPMul.exe	356	1157	115	1628	3382	44	3	606	18
multiply_matrices_ijk_ikj_850_850(void)	OMPMul.exe	355	1318	57	1763	2781	6	9	483	6
multiply_matrices_ijk_600(void)	OMPMul.exe	355	854	496	2147	1491	3126	4	300	5
multiply_matrices_ijk_ikj_900_180(void)	OMPMul.exe	339	1094	149	1602	3177	65	1	600	20
multiply_matrices_ijk_ikj_1200_400(void)	OMPMul.exe	338	997	92	1669	2922	31	3	503	22
clean_1300(void)	OMPMul.exe	332	1496	9	1769	3631	1		119	42
multiply_matrices_ijk_ikj_850_425(void)	OMPMul.exe	321	1321	71	1829	2658	15		338	10
multiply_matrices_ijk_ikj_850_85(void)	OMPMul.exe	313	1685	69	1915	3730	93	4	58	11
multiply_matrices_ijk_ikj_900_900(void)	OMPMul.exe	311	1087	56	1701	2896	5	8	422	18
multiply_matrices_ijk_ikj_750_375(void)	OMPMul.exe	309	1241	70	1694	2553	17		380	20
multiply_matrices_ikj_900(void)	OMPMul.exe	307	1543	79	2036	2547	6	11	551	5
multiply_matrices_ijk_ikj_800_400(void)	OMPMul.exe	306	961	85	1595	2830	23	1	480	24
multiply_matrices_ikj_850(void)	OMPMul.exe	300	1679	61	2052	2179	5	7	393	2
clean_1450(void)	OMPMul.exe	282	1376	9	1671	3358			45	20
multiply_matrices_ijk_ikj_800_200(void)	OMPMul.exe	267	1060	132	1619	3105	42	1	517	22
multiply_matrices_ijk_ikj_1300_1300(void)	OMPMul.exe	265	708	32	1700	1893	2	6	241	54
clean_1200(void)	OMPMul.exe	262	1169	13	1558	3101			48	38
multiply_matrices_ijk_550(void)	OMPMul.exe	260	559	442	1378	992	2483	4	406	8
multiply_matrices_ijk_ikj_750_150(void)	OMPMul.exe	257	931	105	1301	2260	45	2	491	29
multiply_matrices_ijk_ikj_1200_75(void)	OMPMul.exe	247	1201	40	1376	2676	108	4	54	15
multiply_matrices_ijk_ikj_750_250(void)	OMPMul.exe	244	989	94	1306	2405	30		416	13
multiply_matrices_ijk_ikj_800_50(void)	OMPMul.exe	243	1180	38	1492	3188	11	2	58	14
multiply_matrices_ijk_ikj_800_800(void)	OMPMul.exe	239	883	43	1373	2370	5	7	407	16
multiply_matrices_ijk_ikj_1100_50(void)	OMPMul.exe	225	1055	34	1391	2804	132	3	35	17
multiply_matrices_ijk_500(void)	OMPMul.exe	221	470	840	1284	825	1490	1	619	4
clean_1050(void)	OMPMul.exe	216	891	11	1155	2294			40	20
multiply_matrices_ijk_ikj_750_750(void)	OMPMul.exe	214	982	34	1324	2106	5	3	318	14
multiply_matrices_ijk_ikj_650_50(void)	OMPMul.exe	212	835	24	1197	2120	4	1	41	7
multiply_matrices_ijk_ikj_700_50(void)	OMPMul.exe	207	1016	22	1236	2731	7	1	41	14
multiply_matrices_ikj_800(void)	OMPMul.exe	206	1026	39	1346	1701	5	5	452	8
multiply_matrices_ijk_ikj_750_125(void)	OMPMul.exe	198	878	103	1155	1867	30	1	242	16
multiply_matrices_ijk_ikj_650_130(void)	OMPMul.exe	194	719	94	1015	1765	28	2	234	17
multiply_matrices_ikj_750(void)	OMPMul.exe	188	929	30	1135	1218	8	2	332	4
multiply_matrices_ijk_ikj_750_50(void)	OMPMul.exe	183	805	27	1003	2174	5	1	36	8
clean_1250(void)	OMPMul.exe	181	834	5	1058	1996			54	20
multiply_matrices_ijk_ikj_700_350(void)	OMPMul.exe	178	602	44	826	1523	14		274	13
multiply_matrices_ijk_ikj_650_325(void)	OMPMul.exe	178	818	52	986	1695	13	1	252	12
multiply_matrices_ijk_ikj_650_65(void)	OMPMul.exe	174	915	18	1031	2104	35		30	6
multiply_matrices_ijk_ikj_650_650(void)	OMPMul.exe	167	694	20	926	1496	4	1	196	10
multiply_matrices_ijk_ikj_800_80(void)	OMPMul.exe	166	697	41	1002	2162	62		40	9
clean_900(void)	OMPMul.exe	163	796	4	956	2251			44	21
multiply_matrices_ijk_ikj_850_170(void)	OMPMul.exe	158	481	55	658	1175	27	1	283	4
clean_1000(void)	OMPMul.exe	155	650	3	879	1714			28	18
multiply_matrices_ijk_ikj_800_100(void)	OMPMul.exe	151	590	78	868	1777	40	1	116	13
multiply_matrices_ijk_ikj_600_150(void)	OMPMul.exe	148	626	77	834	1533	19		217	6
clean_1100(void)	OMPMul.exe	147	754	6	970	1762			28	21
multiply_matrices_ijk_ikj_1050_1050(void)	OMPMul.exe	144	521	23	737	1104	2	5	185	13
multiply_matrices_ijk_ikj_600_75(void)	OMPMul.exe	144	723	31	824	1644	33	1	36	9
multiply_matrices_ijk_ikj_600_120(void)	OMPMul.exe	144	375	69	611	1103	26		220	8
clean_1150(void)	OMPMul.exe	136	724	1	867	2026			30	16
multiply_matrices_ijk_ikj_600_50(void)	OMPMul.exe	136	656	20	797	1766	4		51	13
multiply_matrices_ikj_700(void)	OMPMul.exe	135	667	21	846	1102	6	2	238	1
multiply_matrices_ijk_450(void)	OMPMul.exe	134	343	197	818	621	926		120	1
multiply_matrices_ijk_ikj_600_200(void)	OMPMul.exe	130	475	56	730	1401	14		229	14
multiply_matrices_ijk_ikj_600_60(void)	OMPMul.exe	127	542	24	736	1684	3		28	6
multiply_matrices_ijk_ikj_600_100(void)	OMPMul.exe	126	534	70	771	1615	24		105	6
multiply_matrices_ijk_ikj_550_110(void)	OMPMul.exe	125	520	54	693	1258	15		53	7
clean_1400(void)	OMPMul.exe	124	655	5	829	1607	1		16	6
multiply_matrices_ijk_ikj_600_300(void)	OMPMul.exe	124	420	35	597	1226	9		213	12
multiply_matrices_ijk_ikj_750_75(void)	OMPMul.exe	120	598	30	678	1328	33	1	31	8
multiply_matrices_ijk_ikj_600_600(void)	OMPMul.exe	118	461	18	695	1227	3	1	147	6
multiply_matrices_ikj_650(void)	OMPMul.exe	118	561	18	678	740	7		232	1
multiply_matrices_ijk_ikj_550_55(void)	OMPMul.exe	117	611	18	649	1390	2		33	8
multiply_matrices_ijk_ikj_700_175(void)	OMPMul.exe	113	512	56	640	1109	13		158	4
multiply_matrices_ijk_ikj_700_700(void)	OMPMul.exe	111	293	15	446	794	5	1	199	5
multiply_matrices_ijk_ikj_800_160(void)	OMPMul.exe	110	512	77	806	1504	20	1	217	13
multiply_matrices_ijk_ikj_550_275(void)	OMPMul.exe	110	522	35	627	1085	7		154	8
clean_950(void)	OMPMul.exe	109	510	2	633	1143	1		18	19
multiply_matrices_ijk_ikj_550_50(void)	OMPMul.exe	106	478	16	578	1283	2		26	3
multiply_matrices_ijk_400(void)	OMPMul.exe	106	271	95	693	479	508		111	3
multiply_matrices_ijk_ikj_550_550(void)	OMPMul.exe	101	430	9	581	908	3		139	8
multiply_matrices_ijk_ikj_500_125(void)	OMPMul.exe	99	469	49	595	968	8		104	5
multiply_matrices_ijk_ikj_500_50(void)	OMPMul.exe	81	346	10	429	928	2	1	24	8
multiply_matrices_ijk_ikj_500_250(void)	OMPMul.exe	79	306	27	398	738	6		122	6
multiply_matrices_ikj_600(void)	OMPMul.exe	78	472	18	626	790	4		129	
multiply_matrices_ikj_550(void)	OMPMul.exe	76	504	17	605	666	3	2	132	4
clean_800(void)	OMPMul.exe	75	374	2	444	813			23	10
multiply_matrices_ijk_ikj_700_70(void)	OMPMul.exe	75	393	10	471	1013	22		10	3
multiply_matrices_ijk_ikj_500_100(void)	OMPMul.exe	73	256	18	371	792	13		25	9
clean_1350(void)	OMPMul.exe	67	291	1	353	668			14	4
multiply_matrices_ijk_ikj_500_500(void)	OMPMul.exe	67	267	10	414	719	3		85	1
clean_600(void)	OMPMul.exe	66	315	1	424	732			30	9
multiply_matrices_ijk_ikj_450_225(void)	OMPMul.exe	66	250	20	301	490	4		97	
clean_850(void)	OMPMul.exe	64	246		320	577			13	13
multiply_matrices_ijk_ikj_450_150(void)	OMPMul.exe	63	262	28	357	650	5		91	3
multiply_matrices_ijk_ikj_450_75(void)	OMPMul.exe	59	303	6	325	672			14	3
multiply_matrices_ijk_ikj_700_140(void)	OMPMul.exe	58	209	37	327	619	9		76	
multiply_matrices_ijk_ikj_450_50(void)	OMPMul.exe	58	263	5	315	709			18	5
clean_700(void)	OMPMul.exe	55	293	3	330	683			16	3
multiply_matrices_ijk_ikj_450_90(void)	OMPMul.exe	55	234	10	278	597		1	18	8
multiply_matrices_ijk_ikj_450_450(void)	OMPMul.exe	54	185	9	254	402	3		78	3
multiply_matrices_ijk_350(void)	OMPMul.exe	53	182	85	404	322	296		86	3
clean_750(void)	OMPMul.exe	52	276		305	598			11	6
multiply_matrices_ikj_500(void)	OMPMul.exe	48	260	13	336	441	2		91	2
multiply_matrices_ijk_ikj_400_50(void)	OMPMul.exe	42	189	6	228	511	1		10	1
multiply_matrices_ijk_300(void)	OMPMul.exe	42	92	31	211	162	188		56	2
clean_650(void)	OMPMul.exe	41	251		317	619			12	8
multiply_matrices_ijk_ikj_400_100(void)	OMPMul.exe	39	165	20	240	490	1		38	5
multiply_matrices_ijk_ikj_400_200(void)	OMPMul.exe	39	185	22	274	537	1		43	
multiply_matrices_ikj_450(void)	OMPMul.exe	38	298	12	371	405	3		48	1
clean_550(void)	OMPMul.exe	34	144	2	201	424			19	10
multiply_matrices_ijk_ikj_400_400(void)	OMPMul.exe	33	155	4	233	408			38	2
multiply_matrices_ijk_ikj_400_80(void)	OMPMul.exe	32	118	6	165	355			13	4
clean_450(void)	OMPMul.exe	30	99	1	136	257			11	4
multiply_matrices_ijk_ikj_350_175(void)	OMPMul.exe	30	156	15	188	328	2		42	5
multiply_matrices_ijk_ikj_350_50(void)	OMPMul.exe	28	119	4	143	315	1	1	6	1
multiply_matrices_ijk_ikj_350_70(void)	OMPMul.exe	27	113	3	134	294			4	
multiply_matrices_ikj_400(void)	OMPMul.exe	25	141	2	179	228	1		57	1
multiply_matrices_ijk_ikj_700_100(void)	OMPMul.exe	24	98	11	154	314	5		11	4
multiply_matrices_ijk_250(void)	OMPMul.exe	24	54	18	127	97	88		30	1
clean_500(void)	OMPMul.exe	23	174	1	201	420			6	1
multiply_matrices_ijk_ikj_350_350(void)	OMPMul.exe	23	142	3	158	303	1		22	
multiply_matrices_ijk_ikj_300_150(void)	OMPMul.exe	21	80	10	104	189			29	
multiply_matrices_ijk_ikj_300_60(void)	OMPMul.exe	18	57	3	78	174		1	7	3
clean_400(void)	OMPMul.exe	17	72		91	162			6	3
multiply_matrices_ijk_ikj_300_75(void)	OMPMul.exe	17	89	2	98	201			2	3
multiply_matrices_ijk_ikj_300_50(void)	OMPMul.exe	17	93	1	116	251			2	
multiply_matrices_ikj_350(void)	OMPMul.exe	16	73	2	73	99	2		52	1
multiply_matrices_ijk_ikj_300_100(void)	OMPMul.exe	15	49	2	66	152			3	
multiply_matrices_ijk_200(void)	OMPMul.exe	14	31	20	71	53	1		22	
multiply_matrices_ijk_ikj_300_300(void)	OMPMul.exe	13	52	2	69	139	2		27	5
clean_300(void)	OMPMul.exe	12	61	1	73	153			12	1
multiply_matrices_ijk_ikj_250_50(void)	OMPMul.exe	11	41	1	52	118			4	2
multiply_matrices_ijk_ikj_250_125(void)	OMPMul.exe	11	61	6	82	135			10	
clean_350(void)	OMPMul.exe	10	40		62	132	1		12	2
multiply_matrices_ikj_300(void)	OMPMul.exe	8	64	1	56	107			21	
