Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_850_170	651	3129	384	3698	4716	119	3	22	12	0.0012
ijk_ikj_850_425	821	3731	212	4842	4492	45	2	17	9	0.0013
ijk_ikj_850_850	698	3304	123	4352	4738	11	15	15	10	0.0017
ijk_ikj_900_50	679	4185	127	4171	7705	329	11	23	10	0.0014
ijk_ikj_900_60	641	3493	103	3854	7521	402	7	25	11	0.0014
ijk_ikj_900_75	705	4325	87	3874	6235	358	5	19	16	0.0013
ijk_ikj_900_90	609	3699	126	3462	6101	286	5	14	8	0.0014
ijk_ikj_900_100	592	2995	332	3438	6127	260	4	19	10	0.0012
ijk_ikj_900_150	783	3895	496	4484	6052	171	4	25	10	0.0012
ijk_ikj_900_180	654	3104	453	3865	5777	139	2	16	15	0.0016
ijk_ikj_900_225	776	4246	369	4446	5195	117	1	24	14	0.0014
ijk_ikj_900_300	600	2784	291	3256	5091	89	4	21	12	0.0016
ijk_ikj_900_450	856	3557	244	4890	5195	59	1	23	13	0.0012
ijk_ikj_900_900	732	3070	141	4389	5376	8	19	9	5	0.0017
ijk_ikj_950_50	819	4903	156	5019	8968	583	15	30	17	0.0015
ijk_ikj_950_95	881	5546	231	5061	8178	336	8	23	8	0.0017
ijk_ikj_950_190	901	4421	493	5038	6763	173	2	30	17	0.0018
ijk_ikj_950_475	1167	5464	302	7095	6600	64	4	24	13	0.0018
ijk_ikj_950_950	978	4507	174	6010	6492	9	23	24	13	0.0024
ijk_ikj_1000_50	951	5563	201	5739	10242	738	18	30	17	0.0020
ijk_ikj_1000_100	1017	4352	649	5757	8396	400	8	36	17	0.0020
ijk_ikj_1000_125	1257	6462	807	7391	8710	315	6	37	20	0.0021
ijk_ikj_1000_200	854	4009	610	4968	7094	193	4	28	19	0.0026
ijk_ikj_1000_250	937	4924	472	5211	7200	165	4	27	15	0.0018
ijk_ikj_1000_500	1044	4244	364	6481	7729	69	5	24	15	0.0019
ijk_ikj_1000_1000	998	4213	207	6261	7487	8	30	41	21	0.0022
ijk_ikj_1050_50	1135	6301	258	6721	11372	926	27	41	22	0.0021
ijk_ikj_1050_70	1129	6495	276	6519	11804	674	16	52	28	0.0024
ijk_ikj_1050_75	1164	7417	305	6932	10762	618	14	42	20	0.0023
ijk_ikj_1050_105	1433	6891	881	8241	9083	465	10	52	28	0.0024
ijk_ikj_1050_150	1270	6213	818	7363	9561	322	9	41	22	0.0030
ijk_ikj_1050_175	1368	7091	702	7806	9302	283	7	43	25	0.0026
ijk_ikj_1050_210	1174	6086	651	6836	8996	221	4	35	20	0.0028
ijk_ikj_1050_350	1214	5632	417	7017	8361	143	4	41	24	0.0024
ijk_ikj_1050_525	1565	7409	421	9677	9014	70	19	38	24	0.0025
ijk_ikj_1050_1050	1348	6147	242	8218	8709	7	33	33	22	0.0032
ijk_ikj_1100_50	1284	7228	203	7543	13155	1094	26	63	41	0.0027
ijk_ikj_1100_55	1531	9485	236	9168	15743	993	27	67	38	0.0026
ijk_ikj_1100_100	1059	5596	341	6234	11407	571	11	50	29	0.0032
ijk_ikj_1100_110	1456	7305	827	8489	11894	526	10	63	34	0.0022
ijk_ikj_1100_220	1168	5340	683	6425	9827	272	7	42	23	0.0030
