"Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK","ITLB_MISSES.MISS_CAUSES_A_WALK","MEM_LOAD_RETIRED.L1_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L2_MISS_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS"
"FlsGetValue","10645000000","6122000000","4996000000","0","0","3938800000","400000","520000","40000","0","0"
"func@0x18000d0a0","7188600000","4638000000","3828000000","220000","0","5025200000","200000","160000","0","0","0"
"RtlRestoreLastWin32Error","5233200000","3756000000","3176000000","20000","0","1753000000","200000","120000","0","0","0"
"func@0x180012560","4309000000","6050000000","5120000000","20000","0","3696000000","600000","360000","0","0","0"
"NtYieldExecution","3510600000","24496000000","20222000000","140000","1200000","1469400000","1200000","600000","200000","200000","40000"
"func@0x1401872dc","2913400000","27734000000","22574000000","100000","35200000","730800000","1400000","1120000","120000","200000","80000"
"GetLastError","2677600000","1042000000","890000000","20000","0","863000000","200000","80000","0","0","0"
"func@0x180044a60","2080400000","1514000000","1160000000","0","0","770400000","0","0","0","0","0"
"func@0x180090ed0","1921200000","1326000000","1144000000","0","0","287400000","0","0","40000","0","0"
"func@0x1400d4ea0","1281800000","1758000000","1584000000","120000","0","416800000","600000","200000","80000","120000","0"
"func@0x140225f80","722800000","614000000","460000000","40000","0","127200000","2200000","400000","880000","240000","40000"
"func@0x140069d70","703200000","980000000","852000000","0","0","170600000","5600000","560000","3520000","640000","0"
"func@0x140070e90","688400000","708000000","578000000","0","0","153800000","1000000","840000","640000","240000","0"
"func@0x140085ef0","576400000","740000000","636000000","60000","0","138400000","6400000","2120000","3120000","560000","1000000"
"func@0x140184002","504200000","3176000000","2620000000","0","3600000","86200000","2600000","1640000","1080000","440000","0"
"func@0x140080009","463800000","1014000000","818000000","40000","0","83400000","600000","40000","600000","80000","360000"
"func@0x1800046a0","432800000","4420000000","3716000000","40000","2600000","143200000","3000000","120000","3240000","960000","0"
"func@0x140083590","383200000","474000000","458000000","180000","0","95200000","2800000","1000000","2520000","1400000","280000"
"func@0x1400727b0","289800000","266000000","194000000","20000","0","48000000","2400000","680000","1600000","160000","280000"
"func@0x1400718b0","289000000","386000000","324000000","0","0","70000000","1600000","1000000","2200000","160000","0"
"func@0x1400722b0","280600000","226000000","188000000","20000","0","54800000","3200000","760000","2480000","120000","1800000"
"func@0x1400813b0","275600000","138000000","128000000","0","0","30000000","1600000","40000","1600000","0","2080000"
"func@0x140070540","260200000","324000000","236000000","20000","0","61200000","3800000","1600000","2680000","320000","0"
"func@0x140071de6","243400000","146000000","132000000","0","0","48000000","200000","280000","80000","0","0"
"func@0x140171124","223200000","226000000","168000000","0","0","27000000","400000","80000","280000","80000","80000"
"func@0x140086800","192600000","478000000","352000000","180000","0","47800000","400000","0","760000","40000","360000"
"func@0x14006ee20","191800000","292000000","268000000","0","0","23400000","1000000","1440000","400000","80000","0"
"func@0x140225f2c","179400000","106000000","114000000","0","0","34000000","600000","120000","40000","40000","0"
"func@0x140068550","161200000","2230000000","1736000000","20000","0","18800000","3400000","40000","2480000","520000","0"
"RtlGetCurrentUmsThread","112400000","632000000","536000000","60000","1200000","10000000","200000","120000","120000","40000","0"
"func@0x14006b220","100000000","80000000","54000000","0","0","14600000","1200000","160000","840000","560000","0"
"func@0x1401710f0","91000000","52000000","52000000","0","0","21600000","400000","40000","1000000","160000","0"
"func@0x180001d48","77800000","1102000000","848000000","0","200000","36400000","0","0","0","0","0"
"func@0x1400e22e0","77200000","586000000","448000000","40000","0","14000000","0","40000","200000","0","40000"
"func@0x140078970","72600000","64000000","58000000","0","0","14800000","0","80000","0","0","40000"
