function,Timer,DC accesses,DC misses,CPU clocks,Ret inst,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses,time,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ijk_250,23.00,15500000.00,516666.67,35333333.33,27166666.67,2033333.33,0.00,533333.33,33333.33,0.0253,55466666.6667,58266666.6667,48066666.6667,0.0000,6666.6667,29760000.0000,1313333.3333,1178666.6667,194666.6667,192000.0000,0.0000,0.0046,0.0040,0.0050
ijk_300,39.67,25583333.33,866666.67,57916666.67,45416666.67,4325000.00,8333.33,1000000.00,66666.67,0.0437,95333333.3333,102600000.0000,84466666.6667,0.0000,0.0000,59913333.3333,2853333.3333,1304000.0000,497333.3333,486666.6667,4000.0000,0.0079,0.0070,0.0090
ijk_350,62.00,41250000.00,2000000.00,92583333.33,72916666.67,7975000.00,8333.33,1683333.33,166666.67,0.0703,151333333.3333,164800000.0000,136133333.3333,0.0000,0.0000,87826666.6667,4906666.6667,3416000.0000,774666.6667,770666.6667,1333.3333,0.0136,0.0120,0.0160
ijk_400,105.67,64166666.67,2183333.33,164833333.33,113083333.33,13150000.00,0.00,2266666.67,316666.67,0.1170,225400000.0000,251133333.3333,207400000.0000,0.0000,6666.6667,136080000.0000,9693333.3333,6994666.6667,2418666.6667,2418666.6667,2666.6667,0.0204,0.0180,0.0250
ijk_450,139.33,87333333.33,4850000.00,208500000.00,155833333.33,22325000.00,0.00,2366666.67,183333.33,0.1590,321733333.3333,356333333.3333,294266666.6667,0.0000,0.0000,167520000.0000,21540000.0000,16300000.0000,2844000.0000,2840000.0000,1333.3333,0.0291,0.0260,0.0370
ijk_500,224.00,122166666.67,21950000.00,338250000.00,215916666.67,34858333.33,16666.67,11050000.00,483333.33,0.2487,440600000.0000,492133333.3333,406533333.3333,0.0000,0.0000,207486666.6667,57606666.6667,46956000.0000,4033333.3333,4029333.3333,5333.3333,0.0411,0.0350,0.0520
ijk_550,264.33,157000000.00,12291666.67,389916666.67,281250000.00,54366666.67,83333.33,7350000.00,433333.33,0.2947,586600000.0000,659933333.3333,546266666.6667,0.0000,0.0000,198366666.6667,137166666.6667,126734666.6667,6756000.0000,6752000.0000,4000.0000,0.0555,0.0470,0.0660
ijk_600,358.67,216916666.67,12633333.33,543833333.33,378583333.33,75858333.33,125000.00,5516666.67,433333.33,0.3930,761533333.3333,865600000.0000,715400000.0000,0.0000,0.0000,224573333.3333,210506666.6667,196196000.0000,8380000.0000,8346666.6667,10666.6667,0.0715,0.0620,0.0900
ijk_650,449.67,272250000.00,18166666.67,685750000.00,485250000.00,108550000.00,691666.67,9116666.67,900000.00,0.5110,968200000.0000,1108400000.0000,914466666.6667,6666.6667,0.0000,273980000.0000,275913333.3333,259900000.0000,12598666.6667,12561333.3333,9333.3333,0.0907,0.0790,0.1050
ijk_700,591.67,346083333.33,22866666.67,910666666.67,614000000.00,148550000.00,2000000.00,10716666.67,950000.00,0.6797,1208000000.0000,1381666666.6667,1143200000.0000,0.0000,0.0000,342960000.0000,344200000.0000,326162666.6667,14530666.6667,14506666.6667,8000.0000,0.1121,0.0980,0.1310
ijk_750,1411.33,388833333.33,149833333.33,1992833333.33,670750000.00,174150000.00,26541666.67,73283333.33,1683333.33,1.5640,1486133333.3333,1710200000.0000,1413733333.3333,60000.0000,6666.6667,432026666.6667,433986666.6667,390408000.0000,17558666.6667,17485333.3333,32000.0000,0.1406,0.1220,0.1560
ijk_800,2532.33,448166666.67,233566666.67,3540333333.33,819250000.00,159658333.33,83833333.33,113133333.33,1100000.00,2.7840,1803200000.0000,2105333333.3333,1741000000.0000,26666.6667,0.0000,508440000.0000,514066666.6667,453889333.3333,54920000.0000,54737333.3333,77333.3333,0.1784,0.1490,0.2160
ijk_850,3893.33,595833333.33,98800000.00,5749666666.67,1073916666.67,146066666.67,140725000.00,43133333.33,1866666.67,4.1300,2162533333.3333,2500066666.6667,2067933333.3333,160000.0000,0.0000,627553333.3333,627173333.3333,564140000.0000,33006666.6667,32801333.3333,97333.3333,0.2067,0.1790,0.2250
ijk_900,6023.00,716333333.33,121991666.67,8810666666.67,1225250000.00,133925000.00,215708333.33,62183333.33,3666666.67,6.2947,2566200000.0000,3072400000.0000,2536466666.6667,6226666.6667,0.0000,734800000.0000,733893333.3333,681601333.3333,36390666.6667,35864000.0000,257333.3333,0.2904,0.2180,0.3790
ijk_950,8512.33,849500000.00,171250000.00,12506750000.00,1474333333.33,123383333.33,302416666.67,76966666.67,4600000.00,8.8570,3018266666.6667,3628200000.0000,2999333333.3333,4860000.0000,0.0000,841540000.0000,850440000.0000,807838666.6667,57441333.3333,56652000.0000,297333.3333,0.3511,0.2640,0.4440
ijk_1000,11216.00,1036750000.00,144075000.00,16663416666.67,1738000000.00,112891666.67,404366666.67,67133333.33,6083333.33,11.7330,3519466666.6667,4273933333.3333,3534866666.6667,7320000.0000,0.0000,987660000.0000,996093333.3333,934349333.3333,69161333.3333,67552000.0000,580000.0000,0.4630,0.3180,0.5560
ijk_1050,14177.33,1106166666.67,299583333.33,20910416666.67,1789083333.33,110316666.67,501833333.33,127700000.00,8900000.00,14.7767,4075266666.6667,5241866666.6667,4335933333.3333,9013333.3333,0.0000,1139500000.0000,1147653333.3333,1085194666.6667,80917333.3333,77692000.0000,1158666.6667,0.5448,0.3710,0.7940
ijk_1100,16930.33,1335166666.67,486991666.67,25047750000.00,2570833333.33,110383333.33,592191666.67,204150000.00,12033333.33,17.6540,4684733333.3333,6010266666.6667,4970200000.0000,9373333.3333,6666.6667,1309600000.0000,1319666666.6667,1247086666.6667,93296000.0000,87821333.3333,1969333.3333,0.6210,0.4240,0.8500
ijk_1150,19391.33,1511500000.00,415591666.67,28567000000.00,2889750000.00,118675000.00,680700000.00,177933333.33,15883333.33,20.1493,5352666666.6667,7417200000.0000,6136000000.0000,14466666.6667,20000.0000,1496453333.3333,1505626666.6667,1400178666.6667,131074666.6667,122429333.3333,3312000.0000,0.7480,0.5170,0.9020
ijk_1200,22616.67,1660083333.33,527408333.33,33518500000.00,3070583333.33,106408333.33,800891666.67,236683333.33,28316666.67,23.7183,6080866666.6667,7667400000.0000,6343266666.6667,13853333.3333,6666.6667,1690393333.3333,1718253333.3333,1583377333.3333,155782666.6667,143113333.3333,4380000.0000,0.7769,0.5460,1.0450
ijk_1250,25123.67,1854416666.67,756175000.00,36920083333.33,3269416666.67,103691666.67,868883333.33,341966666.67,37533333.33,27.4883,6872266666.6667,9888133333.3333,8181333333.3333,89333333.3333,13333.3333,1918313333.3333,1924146666.6667,1739420000.0000,233140000.0000,215696000.0000,7186666.6667,0.9862,0.7060,1.2160
ijk_1300,19981.00,1508416666.67,548475000.00,29166500000.00,2563833333.33,71150000.00,701325000.00,357050000.00,35900000.00,31.1770,7729933333.3333,10739533333.3333,8884466666.6667,257666666.6667,0.0000,2159140000.0000,2170186666.6667,1907345333.3333,307808000.0000,286604000.0000,8796000.0000,1.0494,0.7610,1.2920
ijk_1350,22533.00,1659833333.33,748091666.67,33336583333.33,2879250000.00,71633333.33,787783333.33,473250000.00,48266666.67,35.4207,8655200000.0000,12710333333.3333,10512200000.0000,203446666.6667,0.0000,2421086666.6667,2426580000.0000,2159190666.6667,319253333.3333,292330666.6667,11117333.3333,1.2595,0.9020,1.5460
ijk_1400,25750.67,1814916666.67,779691666.67,37525500000.00,3180500000.00,68358333.33,893866666.67,517350000.00,60450000.00,40.1773,9654600000.0000,13009200000.0000,10756200000.0000,331786666.6667,0.0000,2693433333.3333,2711880000.0000,2373545333.3333,389704000.0000,352564000.0000,14806666.6667,1.2916,0.9260,1.6220
ijk_1450,28477.00,2020916666.67,888291666.67,41786250000.00,3591583333.33,68758333.33,994741666.67,649783333.33,79750000.00,44.4907,10727866666.6667,17061400000.0000,14108600000.0000,697146666.6667,13333.3333,3001820000.0000,3004460000.0000,2519097333.3333,550685333.3333,510372000.0000,18140000.0000,1.6316,1.1840,2.2130
ijk_1500,32130.67,2216250000.00,1047900000.00,46718083333.33,3769083333.33,66416666.67,1118083333.33,1252050000.00,93833333.33,50.1730,11875000000.0000,17677266666.6667,14620733333.3333,768980000.0000,13333.3333,3330300000.0000,3341933333.3333,2736872000.0000,651114666.6667,603728000.0000,22716000.0000,1.7487,1.2450,2.0830
