function,Timer,DC accesses,DC misses,CPU clocks,Ret inst,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses,time,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ijk_ikj_400_80,17.67,21250000.00,125000.00,26500000.00,52666666.67,0.00,0.00,216666.67,66666.67,0.0280,321533333.3333,109333333.3333,89800000.0000,0.0000,6666.6667,130233333.3333,1986666.6667,1508000.0000,44000.0000,32000.0000,4000.0000,0.0140,0.0100,0.0230
ijk_ikj_400_100,22.00,24250000.00,275000.00,32166666.67,61666666.67,8333.33,0.00,633333.33,83333.33,0.0323,319000000.0000,107666666.6667,89000000.0000,0.0000,0.0000,97860000.0000,2026666.6667,2602666.6667,72000.0000,74666.6667,8000.0000,0.0110,0.0070,0.0160
ijk_ikj_450_50,32.00,40916666.67,108333.33,44083333.33,94000000.00,0.00,0.00,316666.67,116666.67,0.0473,491266666.6667,156933333.3333,128400000.0000,6666.6667,0.0000,189346666.6667,413333.3333,350666.6667,93333.3333,72000.0000,2666.6667,0.0175,0.0130,0.0260
ijk_ikj_450_75,34.00,45750000.00,75000.00,45416666.67,86750000.00,0.00,0.00,266666.67,66666.67,0.0497,474466666.6667,152333333.3333,125800000.0000,0.0000,0.0000,177986666.6667,1406666.6667,1274666.6667,64000.0000,58666.6667,2666.6667,0.0185,0.0120,0.0270
ijk_ikj_450_90,31.00,42916666.67,158333.33,44666666.67,88583333.33,0.00,8333.33,300000.00,133333.33,0.0443,465133333.3333,160933333.3333,133333333.3333,0.0000,0.0000,172280000.0000,3220000.0000,3036000.0000,70666.6667,50666.6667,4000.0000,0.0179,0.0150,0.0300
ijk_ikj_500_50,45.00,54500000.00,158333.33,60000000.00,123166666.67,33333.33,8333.33,450000.00,133333.33,0.0660,673866666.6667,208000000.0000,171333333.3333,0.0000,6666.6667,294966666.6667,726666.6667,388000.0000,102666.6667,93333.3333,2666.6667,0.0239,0.0160,0.0330
ijk_ikj_500_100,40.33,43750000.00,266666.67,53833333.33,110166666.67,216666.67,0.00,500000.00,183333.33,0.0603,621400000.0000,214533333.3333,176666666.6667,6666.6667,0.0000,214700000.0000,4566666.6667,4580000.0000,126666.6667,121333.3333,5333.3333,0.0299,0.0210,0.0440
ijk_ikj_500_125,57.67,71750000.00,816666.67,86250000.00,125083333.33,141666.67,8333.33,1800000.00,100000.00,0.0887,623400000.0000,222000000.0000,182266666.6667,6666.6667,0.0000,212413333.3333,4280000.0000,4418666.6667,277333.3333,274666.6667,5333.3333,0.0216,0.0140,0.0280
ijk_ikj_550_50,60.33,77500000.00,266666.67,84250000.00,176250000.00,33333.33,0.00,433333.33,66666.67,0.0877,896866666.6667,275200000.0000,226333333.3333,0.0000,0.0000,307966666.6667,600000.0000,510666.6667,158666.6667,170666.6667,2666.6667,0.0293,0.0200,0.0400
ijk_ikj_550_55,69.00,102166666.67,266666.67,98166666.67,201250000.00,25000.00,8333.33,600000.00,133333.33,0.1030,893333333.3333,271600000.0000,225000000.0000,0.0000,0.0000,277573333.3333,886666.6667,789333.3333,184000.0000,170666.6667,6666.6667,0.0304,0.0210,0.0430
ijk_ikj_550_110,70.67,79583333.33,866666.67,98583333.33,163416666.67,258333.33,0.00,900000.00,150000.00,0.1053,838466666.6667,299066666.6667,246200000.0000,6666.6667,0.0000,296286666.6667,5986666.6667,5800000.0000,261333.3333,238666.6667,6666.6667,0.0349,0.0290,0.0480
ijk_ikj_600_50,76.00,99083333.33,325000.00,108250000.00,228166666.67,58333.33,16666.67,916666.67,250000.00,0.1133,1164533333.3333,345333333.3333,284800000.0000,0.0000,0.0000,418846666.6667,980000.0000,569333.3333,216000.0000,214666.6667,6666.6667,0.0339,0.0230,0.0470
ijk_ikj_600_60,73.00,89750000.00,391666.67,108916666.67,235916666.67,41666.67,0.00,516666.67,133333.33,0.1107,1106466666.6667,338866666.6667,279933333.3333,0.0000,0.0000,437700000.0000,1353333.3333,836000.0000,172000.0000,166666.6667,5333.3333,0.0370,0.0260,0.0570
ijk_ikj_600_75,83.67,118750000.00,491666.67,118916666.67,219083333.33,433333.33,16666.67,683333.33,183333.33,0.1240,1124666666.6667,349133333.3333,287200000.0000,0.0000,0.0000,421740000.0000,3960000.0000,3408000.0000,173333.3333,157333.3333,10666.6667,0.0332,0.0230,0.0440
ijk_ikj_600_100,74.00,82583333.33,1125000.00,110000000.00,213166666.67,408333.33,8333.33,1816666.67,116666.67,0.1110,1074933333.3333,350600000.0000,289466666.6667,0.0000,0.0000,400573333.3333,8653333.3333,7525333.3333,177333.3333,172000.0000,6666.6667,0.0403,0.0310,0.0610
ijk_ikj_600_120,83.33,68750000.00,1350000.00,101500000.00,159166666.67,391666.67,0.00,3700000.00,150000.00,0.1213,1066600000.0000,362000000.0000,298466666.6667,6666.6667,0.0000,344893333.3333,6773333.3333,8046666.6667,337333.3333,314666.6667,13333.3333,0.0489,0.0370,0.0740
ijk_ikj_600_150,86.33,100666666.67,1250000.00,124750000.00,203166666.67,300000.00,0.00,3700000.00,150000.00,0.1323,1072066666.6667,385933333.3333,317800000.0000,0.0000,0.0000,371440000.0000,6473333.3333,6200000.0000,672000.0000,658666.6667,13333.3333,0.0358,0.0260,0.0530
ijk_ikj_650_50,111.00,130666666.67,375000.00,157166666.67,288416666.67,75000.00,8333.33,766666.67,150000.00,0.1593,1480333333.3333,446266666.6667,368133333.3333,6666.6667,0.0000,574120000.0000,1180000.0000,812000.0000,261333.3333,242666.6667,8000.0000,0.0451,0.0340,0.0680
ijk_ikj_650_65,100.33,150000000.00,283333.33,150166666.67,281500000.00,325000.00,0.00,566666.67,133333.33,0.1470,1429733333.3333,426666666.6667,352533333.3333,6666.6667,0.0000,528033333.3333,2153333.3333,1624000.0000,258666.6667,248000.0000,6666.6667,0.0475,0.0330,0.0710
ijk_ikj_650_130,111.33,119083333.33,1608333.33,154833333.33,236250000.00,466666.67,33333.33,3966666.67,333333.33,0.1710,1372200000.0000,466133333.3333,384600000.0000,0.0000,0.0000,508820000.0000,10213333.3333,8478666.6667,794666.6667,774666.6667,12000.0000,0.0572,0.0480,0.0850
ijk_ikj_700_50,118.67,163250000.00,433333.33,178166666.67,370083333.33,108333.33,8333.33,766666.67,300000.00,0.1813,1849000000.0000,542733333.3333,447666666.6667,6666.6667,0.0000,706433333.3333,1400000.0000,889333.3333,324000.0000,310666.6667,5333.3333,0.0533,0.0400,0.0760
ijk_ikj_700_70,78.33,115250000.00,283333.33,115666666.67,229583333.33,725000.00,8333.33,266666.67,83333.33,0.1843,1785333333.3333,547266666.6667,452733333.3333,20000.0000,0.0000,730966666.6667,4073333.3333,2880000.0000,257333.3333,233333.3333,10666.6667,0.0564,0.0430,0.0860
ijk_ikj_700_100,52.67,66083333.33,500000.00,76500000.00,145750000.00,433333.33,8333.33,233333.33,83333.33,0.1603,1706400000.0000,588933333.3333,484866666.6667,0.0000,0.0000,631646666.6667,13493333.3333,11872000.0000,396000.0000,373333.3333,12000.0000,0.0597,0.0440,0.0840
ijk_ikj_700_140,77.00,78500000.00,1333333.33,106416666.67,165750000.00,375000.00,16666.67,1350000.00,66666.67,0.1903,1683800000.0000,586266666.6667,483866666.6667,6666.6667,0.0000,612460000.0000,12040000.0000,10737333.3333,950666.6667,918666.6667,24000.0000,0.0783,0.0600,0.1010
ijk_ikj_700_175,102.67,131416666.67,1333333.33,149500000.00,207416666.67,333333.33,0.00,2666666.67,100000.00,0.2233,1696466666.6667,596600000.0000,492733333.3333,0.0000,0.0000,560226666.6667,10700000.0000,10261333.3333,2182666.6667,2157333.3333,25333.3333,0.0548,0.0410,0.0700
ijk_ikj_750_50,124.00,163416666.67,625000.00,176083333.33,356583333.33,108333.33,25000.00,833333.33,266666.67,0.2260,2273266666.6667,659733333.3333,545600000.0000,6666.6667,0.0000,795640000.0000,1433333.3333,1268000.0000,437333.3333,421333.3333,17333.3333,0.0645,0.0470,0.0890
ijk_ikj_750_75,110.33,156250000.00,691666.67,153750000.00,265666666.67,983333.33,33333.33,650000.00,233333.33,0.2413,2195800000.0000,642466666.6667,529466666.6667,20000.0000,0.0000,782146666.6667,6306666.6667,5584000.0000,357333.3333,340000.0000,14666.6667,0.0716,0.0530,0.1090
ijk_ikj_750_125,157.33,185500000.00,2266666.67,225666666.67,307666666.67,650000.00,8333.33,4266666.67,400000.00,0.2997,2104000000.0000,712600000.0000,588400000.0000,13333.3333,0.0000,742453333.3333,15586666.6667,14542666.6667,1020000.0000,981333.3333,17333.3333,0.0815,0.0640,0.1170
ijk_ikj_750_150,163.00,174166666.67,2091666.67,221083333.33,334250000.00,708333.33,25000.00,8266666.67,516666.67,0.2673,2094066666.6667,718266666.6667,593933333.3333,0.0000,0.0000,704306666.6667,13593333.3333,13841333.3333,1513333.3333,1494666.6667,32000.0000,0.0917,0.0740,0.1180
ijk_ikj_800_50,158.33,220166666.67,741666.67,243416666.67,487833333.33,200000.00,50000.00,1400000.00,416666.67,0.2803,2759600000.0000,841000000.0000,694600000.0000,26666.6667,0.0000,991106666.6667,2373333.3333,1789333.3333,526666.6667,502666.6667,16000.0000,0.0738,0.0530,0.1050
ijk_ikj_800_80,177.67,213083333.33,1208333.33,253416666.67,476166666.67,2083333.33,8333.33,850000.00,200000.00,0.2300,2575933333.3333,810400000.0000,669666666.6667,0.0000,0.0000,852933333.3333,13280000.0000,14596000.0000,478666.6667,437333.3333,26666.6667,0.0864,0.0650,0.1120
ijk_ikj_800_100,195.00,227500000.00,3241666.67,285250000.00,511833333.33,1658333.33,33333.33,2266666.67,383333.33,0.2623,2547133333.3333,863533333.3333,712200000.0000,6666.6667,0.0000,899680000.0000,20106666.6667,19008000.0000,728000.0000,680000.0000,29333.3333,0.0767,0.0570,0.1050
ijk_ikj_800_160,193.67,209166666.67,3250000.00,290250000.00,422583333.33,1016666.67,16666.67,3850000.00,333333.33,0.2747,2504933333.3333,893666666.6667,739133333.3333,0.0000,0.0000,871946666.6667,18160000.0000,16524000.0000,2585333.3333,2524000.0000,45333.3333,0.1110,0.0920,0.1610
ijk_ikj_800_200,243.00,255166666.67,3491666.67,353500000.00,559583333.33,1016666.67,25000.00,8933333.33,533333.33,0.2640,2489066666.6667,898400000.0000,741066666.6667,0.0000,6666.6667,872946666.6667,16366666.6667,13442666.6667,3434666.6667,3405333.3333,37333.3333,0.0781,0.0600,0.1080
ijk_ikj_850_50,310.67,438916666.67,1266666.67,473250000.00,937916666.67,1600000.00,133333.33,1283333.33,433333.33,0.3343,3309733333.3333,946933333.3333,782533333.3333,40000.0000,0.0000,1227980000.0000,2293333.3333,1554666.6667,598666.6667,553333.3333,24000.0000,0.0930,0.0740,0.1370
ijk_ikj_850_85,306.33,459166666.67,1716666.67,448750000.00,786916666.67,2791666.67,66666.67,1250000.00,383333.33,0.3553,3132200000.0000,994866666.6667,819933333.3333,20000.0000,0.0000,1123680000.0000,22653333.3333,20778666.6667,472000.0000,428000.0000,36000.0000,0.1024,0.0800,0.1300
ijk_ikj_850_170,269.67,300833333.33,3658333.33,363000000.00,490916666.67,1216666.67,33333.33,5083333.33,266666.67,0.3617,3032800000.0000,1030466666.6667,851866666.6667,26666.6667,0.0000,1082566666.6667,20906666.6667,17508000.0000,3118666.6667,3058666.6667,46666.6667,0.1295,0.1110,0.1790
ijk_ikj_900_50,390.33,536416666.67,1608333.33,587750000.00,1156583333.33,4675000.00,116666.67,1700000.00,483333.33,0.4123,3929000000.0000,1087133333.3333,898200000.0000,20000.0000,0.0000,1500853333.3333,2240000.0000,1372000.0000,661333.3333,629333.3333,25333.3333,0.1096,0.0840,0.1590
