Liczba watkow 4
name;n;r;time
IJK_IKJ_1000_40;1000;40;  0.1150
IJK_IKJ_1000_50;1000;50;  0.1050
IJK_IKJ_1000_100;1000;100;  0.1420
IJK_IKJ_1000_125;1000;125;  0.1160
IJK_IKJ_1000_200;1000;200;  0.1930
IJK_IKJ_1000_250;1000;250;  0.1180
IJK_IKJ_1050_10;1050;10;  0.1780
IJK_IKJ_1050_14;1050;14;  0.1510
IJK_IKJ_1050_15;1050;15;  0.1530
IJK_IKJ_1050_21;1050;21;  0.1800
IJK_IKJ_1050_25;1050;25;  0.1350
IJK_IKJ_1050_30;1050;30;  0.1540
IJK_IKJ_1050_35;1050;35;  0.1410
IJK_IKJ_1050_42;1050;42;  0.1360
IJK_IKJ_1050_50;1050;50;  0.1370
IJK_IKJ_1050_70;1050;70;  0.1430
IJK_IKJ_1050_75;1050;75;  0.1730
IJK_IKJ_1050_105;1050;105;  0.1580
IJK_IKJ_1050_150;1050;150;  0.1500
IJK_IKJ_1050_175;1050;175;  0.1780
IJK_IKJ_1050_210;1050;210;  0.2160
IJK_IKJ_1100_10;1100;10;  0.2380
IJK_IKJ_1100_11;1100;11;  0.2120
IJK_IKJ_1100_20;1100;20;  0.1560
IJK_IKJ_1100_22;1100;22;  0.1800
IJK_IKJ_1100_25;1100;25;  0.1590
IJK_IKJ_1100_44;1100;44;  0.1560
IJK_IKJ_1100_50;1100;50;  0.1530
IJK_IKJ_1100_55;1100;55;  0.1410
IJK_IKJ_1100_100;1100;100;  0.1770
IJK_IKJ_1100_110;1100;110;  0.1890
IJK_IKJ_1100_220;1100;220;  0.2550
IJK_IKJ_1100_275;1100;275;  0.1550
IJK_IKJ_1150_10;1150;10;  0.2500
IJK_IKJ_1150_23;1150;23;  0.1840
IJK_IKJ_1150_25;1150;25;  0.1780
IJK_IKJ_1150_46;1150;46;  0.1790
IJK_IKJ_1150_50;1150;50;  0.1670
IJK_IKJ_1150_115;1150;115;  0.2150
IJK_IKJ_1150_230;1150;230;  0.2830
IJK_IKJ_1200_10;1200;10;  0.2740
IJK_IKJ_1200_12;1200;12;  0.2300
IJK_IKJ_1200_15;1200;15;  0.2230
IJK_IKJ_1200_16;1200;16;  0.2230
IJK_IKJ_1200_20;1200;20;  0.2010
IJK_IKJ_1200_24;1200;24;  0.2000
IJK_IKJ_1200_25;1200;25;  0.1970
IJK_IKJ_1200_30;1200;30;  0.1910
IJK_IKJ_1200_40;1200;40;  0.1900
IJK_IKJ_1200_48;1200;48;  0.2350
IJK_IKJ_1200_50;1200;50;  0.1880
IJK_IKJ_1200_60;1200;60;  0.1830
IJK_IKJ_1200_75;1200;75;  0.1870
IJK_IKJ_1200_80;1200;80;  0.2240
IJK_IKJ_1200_100;1200;100;  0.1990
IJK_IKJ_1200_120;1200;120;  0.2650
IJK_IKJ_1200_150;1200;150;  0.2070
IJK_IKJ_1200_200;1200;200;  0.2680
IJK_IKJ_1200_240;1200;240;  0.3510
IJK_IKJ_1200_300;1200;300;  0.2120
IJK_IKJ_1250_10;1250;10;  0.3080
IJK_IKJ_1250_25;1250;25;  0.2430
IJK_IKJ_1250_50;1250;50;  0.2350
IJK_IKJ_1250_125;1250;125;  0.2720
IJK_IKJ_1250_250;1250;250;  0.3620
IJK_IKJ_1300_10;1300;10;  0.3370
IJK_IKJ_1300_13;1300;13;  0.2960
IJK_IKJ_1300_20;1300;20;  0.2650
IJK_IKJ_1300_25;1300;25;  0.2500
IJK_IKJ_1300_26;1300;26;  0.2570
IJK_IKJ_1300_50;1300;50;  0.2470
IJK_IKJ_1300_52;1300;52;  0.2550
IJK_IKJ_1300_65;1300;65;  0.2340
IJK_IKJ_1300_100;1300;100;  0.3330
IJK_IKJ_1300_130;1300;130;  0.3190
IJK_IKJ_1300_260;1300;260;  0.4030
IJK_IKJ_1300_325;1300;325;  0.2930
IJK_IKJ_1350_10;1350;10;  0.4110
IJK_IKJ_1350_15;1350;15;  0.4190
IJK_IKJ_1350_18;1350;18;  0.3890
IJK_IKJ_1350_25;1350;25;  0.3310
IJK_IKJ_1350_27;1350;27;  0.3360
IJK_IKJ_1350_30;1350;30;  0.3500
IJK_IKJ_1350_45;1350;45;  0.2780
IJK_IKJ_1350_50;1350;50;  0.3690
IJK_IKJ_1350_54;1350;54;  0.2930
IJK_IKJ_1350_75;1350;75;  0.3060
IJK_IKJ_1350_90;1350;90;  0.3700
IJK_IKJ_1350_135;1350;135;  0.3660
IJK_IKJ_1350_150;1350;150;  0.4310
IJK_IKJ_1350_225;1350;225;  0.3870
IJK_IKJ_1350_270;1350;270;  0.4590
IJK_IKJ_1400_10;1400;10;  0.4240
IJK_IKJ_1400_14;1400;14;  0.3640
IJK_IKJ_1400_20;1400;20;  0.3250
IJK_IKJ_1400_25;1400;25;  0.3120
IJK_IKJ_1400_28;1400;28;  0.3070
IJK_IKJ_1400_35;1400;35;  0.3180
IJK_IKJ_1400_40;1400;40;  0.3070
IJK_IKJ_1400_50;1400;50;  0.2900
IJK_IKJ_1400_56;1400;56;  0.5350
IJK_IKJ_1400_70;1400;70;  0.3410
IJK_IKJ_1400_100;1400;100;  0.3750
IJK_IKJ_1400_140;1400;140;  0.3850
IJK_IKJ_1400_175;1400;175;  0.4350
IJK_IKJ_1400_200;1400;200;  0.3670
IJK_IKJ_1400_280;1400;280;  0.5000
IJK_IKJ_1400_350;1400;350;  0.3250
IJK_IKJ_1450_10;1450;10;  0.4880
IJK_IKJ_1450_25;1450;25;  0.3830
IJK_IKJ_1450_29;1450;29;  0.3480
IJK_IKJ_1450_50;1450;50;  0.3580
IJK_IKJ_1450_58;1450;58;  0.3610
IJK_IKJ_1450_145;1450;145;  0.4150
IJK_IKJ_1450_290;1450;290;  0.5580
IJK_IKJ_1500_10;1500;10;  0.5380
IJK_IKJ_1500_12;1500;12;  0.4580
IJK_IKJ_1500_15;1500;15;  0.4840
IJK_IKJ_1500_20;1500;20;  0.3980
IJK_IKJ_1500_25;1500;25;  0.3900
IJK_IKJ_1500_30;1500;30;  0.3890
IJK_IKJ_1500_50;1500;50;  0.3840
IJK_IKJ_1500_60;1500;60;  0.4010
IJK_IKJ_1500_75;1500;75;  0.3890
IJK_IKJ_1500_100;1500;100;  0.4100
IJK_IKJ_1500_125;1500;125;  0.3880
IJK_IKJ_1500_150;1500;150;  0.4650
IJK_IKJ_1500_250;1500;250;  0.5340
