Function / Call Stack,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_1200_25,935800000.0000,774600000.0000,360000.0000,0.0000,1054000000.0000,2700000.0000,1160000.0000,1570000.0000,1410000.0000,140000.0000,0.2002
ijk_ikj_1200_240,1026200000.0000,846800000.0000,20000.0000,0.0000,943600000.0000,16180000.0000,11480000.0000,3920000.0000,3970000.0000,60000.0000,0.3232
ijk_ikj_1200_24,916400000.0000,755200000.0000,260000.0000,0.0000,1060400000.0000,2260000.0000,820000.0000,1470000.0000,1300000.0000,100000.0000,0.1988
ijk_ikj_1200_200,871200000.0000,717600000.0000,20000.0000,0.0000,906000000.0000,16500000.0000,13040000.0000,3550000.0000,3460000.0000,60000.0000,0.2730
ijk_ikj_1200_20,1024400000.0000,846800000.0000,380000.0000,0.0000,1175600000.0000,3380000.0000,740000.0000,2380000.0000,2210000.0000,100000.0000,0.2107
ijk_ikj_1200_16,1193800000.0000,988200000.0000,400000.0000,0.0000,1377200000.0000,5400000.0000,600000.0000,4760000.0000,4690000.0000,80000.0000,0.2073
ijk_ikj_1200_150,860400000.0000,709400000.0000,20000.0000,0.0000,868800000.0000,16940000.0000,17080000.0000,1950000.0000,1880000.0000,20000.0000,0.2095
ijk_ikj_1200_15,1294800000.0000,1071000000.0000,480000.0000,0.0000,1554000000.0000,5300000.0000,460000.0000,4620000.0000,4590000.0000,60000.0000,0.2292
ijk_ikj_1200_120,869400000.0000,718200000.0000,100000.0000,0.0000,899600000.0000,18220000.0000,17520000.0000,950000.0000,860000.0000,140000.0000,0.2399
ijk_ikj_1200_12,1289000000.0000,1065800000.0000,480000.0000,0.0000,1389200000.0000,6680000.0000,580000.0000,6140000.0000,6080000.0000,40000.0000,0.2369
ijk_ikj_1200_100,872200000.0000,719600000.0000,40000.0000,0.0000,896400000.0000,20100000.0000,19620000.0000,480000.0000,460000.0000,40000.0000,0.1981
ijk_ikj_1200_10,1491000000.0000,1234400000.0000,540000.0000,0.0000,1542000000.0000,10600000.0000,2420000.0000,8210000.0000,8060000.0000,40000.0000,0.2712
ijk_ikj_1150_50,905200000.0000,750000000.0000,80000.0000,0.0000,1222400000.0000,1740000.0000,1120000.0000,580000.0000,520000.0000,20000.0000,0.1671
ijk_ikj_1150_46,914400000.0000,757400000.0000,120000.0000,0.0000,1232000000.0000,1920000.0000,1200000.0000,620000.0000,540000.0000,40000.0000,0.1838
ijk_ikj_1150_25,1024600000.0000,843400000.0000,180000.0000,0.0000,1260800000.0000,3240000.0000,1480000.0000,1830000.0000,1720000.0000,100000.0000,0.1813
ijk_ikj_1150_230,1000200000.0000,824000000.0000,40000.0000,20000.0000,1021600000.0000,19240000.0000,15100000.0000,5140000.0000,5070000.0000,120000.0000,0.2880
ijk_ikj_1150_23,1018800000.0000,843000000.0000,220000.0000,0.0000,1271600000.0000,3000000.0000,1000000.0000,2130000.0000,2120000.0000,0.0000,0.1968
ijk_ikj_1150_115,1008600000.0000,831000000.0000,0.0000,0.0000,1047600000.0000,22640000.0000,23440000.0000,970000.0000,870000.0000,80000.0000,0.2130
ijk_ikj_1150_10,1342600000.0000,1110000000.0000,440000.0000,0.0000,1348000000.0000,9440000.0000,2360000.0000,7100000.0000,7090000.0000,20000.0000,0.2353
