Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	L1 DTLB hit	DRAM accesses	Read req L3	L3 misses
Unknown Module (PID 7664)!0x2ddafd00	Unknown Module (PID 7664)	5	23		46	548			199		13	
Unknown Module (PID 7664)!0x2ddafef2	Unknown Module (PID 7664)	5	5	4	32	27	1		53		2	1
Unknown Module (PID 7664)!0x2ddb0201	Unknown Module (PID 7664)	5	12		22	374			145			
Unknown Module (PID 7664)!0x2ddb078c	Unknown Module (PID 7664)	5	82	2	75	1015	1		631	1	2	1
Unknown Module (PID 7664)!0x2ddb0fd3	Unknown Module (PID 7664)	5	30		41	292			258	1	2	
Unknown Module (PID 7664)!0x2ddb0fdc	Unknown Module (PID 7664)	5	31	1	32	261			278		7	
Unknown Module (PID 7664)!0x2ddb12d0	Unknown Module (PID 7664)	5	2	1	23	82			1		4	
Unknown Module (PID 7664)!0x2ddb12dc	Unknown Module (PID 7664)	5			28	67			1		1	
Unknown Module (PID 7664)!0x2ddb137d	Unknown Module (PID 7664)	5	22		34	335			218		3	
Unknown Module (PID 7664)!0x2ddb139e	Unknown Module (PID 7664)	5	1		18	275			3		3	
Unknown Module (PID 7664)!0x2ddb15e6	Unknown Module (PID 7664)	5			5		1		1			
Unknown Module (PID 7664)!0x2ddb15f6	Unknown Module (PID 7664)	5	12	8	51	39	1	2	148	4	9	2
Unknown Module (PID 7664)!0x2ddb2c8d	Unknown Module (PID 7664)	5		2	53	7			4		7	
Unknown Module (PID 7664)!0x2ddb2c97	Unknown Module (PID 7664)	5	1		40	7			14		8	
Unknown Module (PID 7664)!0x2ddb2d40	Unknown Module (PID 7664)	5	1	3	51	426	1		1		7	1
Unknown Module (PID 7664)!0x2ddb300d	Unknown Module (PID 7664)	5	34	1	37	393			324		5	
Unknown Module (PID 7664)!0x2ddb302c	Unknown Module (PID 7664)	5		3	38	468					5	
Unknown Module (PID 7664)!0x2ddb328d	Unknown Module (PID 7664)	5	4		21	12			32		1	
Unknown Module (PID 7664)!0x2ddb330d	Unknown Module (PID 7664)	5	24		18	179			153	1	4	
Unknown Module (PID 7664)!0x2ddb3339	Unknown Module (PID 7664)	5			23	279	1		5		1	
Unknown Module (PID 7664)!0x2ddb360d	Unknown Module (PID 7664)	5	17		10	98			113			
Unknown Module (PID 7664)!0x2ddb43f1	Unknown Module (PID 7664)	5	10	1	20	591			126	1	2	
Unknown Module (PID 7664)!0x2ddb45f3	Unknown Module (PID 7664)	5	22	1	35	430			331		6	
Unknown Module (PID 7664)!0x2ddb46c5	Unknown Module (PID 7664)	5	34	1	42	389			326		4	
Unknown Module (PID 7664)!0x2ddb4902	Unknown Module (PID 7664)	5	1		37	16			23		3	
Unknown Module (PID 7664)!0x2ddb4993	Unknown Module (PID 7664)	5	23		41	455			250		5	
Unknown Module (PID 7664)!0x2ddb4c8b	Unknown Module (PID 7664)	5	38	1	34	286			322		9	
Unknown Module (PID 7664)!0x2ddb4fc5	Unknown Module (PID 7664)	5	17		20	167	1		129		5	
Unknown Module (PID 7664)!0x2ddb5288	Unknown Module (PID 7664)	5	11		9	195			119		1	
Unknown Module (PID 7664)!0x2ddb52a3	Unknown Module (PID 7664)	5			10	176			3		6	
Unknown Module (PID 7664)!0x2ddb54ff	Unknown Module (PID 7664)	5	11		13	148			112		1	
Unknown Module (PID 7664)!0x2ddb551d	Unknown Module (PID 7664)	5	13	1	9	135			113			
Unknown Module (PID 7664)!0x2ddb581a	Unknown Module (PID 7664)	5	15		25	191			141	2	3	3
Unknown Module (PID 7664)!0x2ddb5ab1	Unknown Module (PID 7664)	5	21		27	457			185	1		
Unknown Module (PID 7664)!0x2ddb5cf0	Unknown Module (PID 7664)	5	15	1	12	144			80		1	
Unknown Module (PID 7664)!0x2ddb5cfb	Unknown Module (PID 7664)	5	16	2	27	224			132	1	2	1
Unknown Module (PID 7664)!0x2ddb6664	Unknown Module (PID 7664)	5	10		34	349	1		45		4	
Unknown Module (PID 7664)!0x2ddb6848	Unknown Module (PID 7664)	5			12				3		1	
Unknown Module (PID 7664)!0x2ddb740d	Unknown Module (PID 7664)	5	58	1	45	784			418		1	
Unknown Module (PID 7664)!0x2ddb76d2	Unknown Module (PID 7664)	5	44	1	46	357			335		6	1
Unknown Module (PID 7664)!0x2ddb7c57	Unknown Module (PID 7664)	5	3		69	11	1		93		5	
Unknown Module (PID 7664)!0x2ddb7cc0	Unknown Module (PID 7664)	5	71		59	663	1		458		10	
Unknown Module (PID 7664)!0x2ddb7cf9	Unknown Module (PID 7664)	5	1	2	61	725					7	
Unknown Module (PID 7664)!0x2ddb7f23	Unknown Module (PID 7664)	5	35		36	562	1		272		4	
Unknown Module (PID 7664)!0x2ddb7f4d	Unknown Module (PID 7664)	5	28	2	32	403	1		258		5	
Unknown Module (PID 7664)!0x2ddb7fee	Unknown Module (PID 7664)	5	32		37	457			266	1	2	
Unknown Module (PID 7664)!0x2ddb884d	Unknown Module (PID 7664)	5	2		16	11	1		25	1	3	
Unknown Module (PID 7664)!0x2ddb8c87	Unknown Module (PID 7664)	5	6		18	438			126			
Unknown Module (PID 7664)!0x81b33f80	Unknown Module (PID 7664)	5	19		14	133			80			
Unknown Module (PID 7664)!0x8273d53e	Unknown Module (PID 7664)	5	10		12	47			162			
Unknown Module (PID 7664)!0x8273d581	Unknown Module (PID 7664)	5	7		33	1440			20			
Unknown Module (PID 7664)!0x82742578	Unknown Module (PID 7664)	5			15	139					1	
Unknown Module (PID 7664)!0x855416be	Unknown Module (PID 7664)	5	10		22	191			89			
multiply_matrices_ikj_150(void)	OMPMul.exe	4	11		13	111			148		6	1
Unknown Module (PID 7664)!0x2dd91df9	Unknown Module (PID 7664)	4	4	6	10	50	7		22		2	
Unknown Module (PID 7664)!0x2dd91e7f	Unknown Module (PID 7664)	4	1	2	7	22	6		10		2	1
Unknown Module (PID 7664)!0x2dd920d9	Unknown Module (PID 7664)	4	6	18	23	89	11		47	1	6	
Unknown Module (PID 7664)!0x2dd920ee	Unknown Module (PID 7664)	4	5	15	19	30	4		27		6	
Unknown Module (PID 7664)!0x2dd92163	Unknown Module (PID 7664)	4	3	8	25	40	13		28		4	
Unknown Module (PID 7664)!0x2dd92241	Unknown Module (PID 7664)	4	12		16	175			101		2	
Unknown Module (PID 7664)!0x2dd922df	Unknown Module (PID 7664)	4	6		15	87			58		2	
Unknown Module (PID 7664)!0x2dd923a9	Unknown Module (PID 7664)	4	3	14	18	48	10		31		5	
Unknown Module (PID 7664)!0x2dd92401	Unknown Module (PID 7664)	4	4	20	23	47	20		44		10	
Unknown Module (PID 7664)!0x2dd9250b	Unknown Module (PID 7664)	4	11	1	26	108	1	1	94		2	
Unknown Module (PID 7664)!0x2dd9254a	Unknown Module (PID 7664)	4	20		16	136			112		1	
Unknown Module (PID 7664)!0x2dd92569	Unknown Module (PID 7664)	4	23		28	173			156		2	
Unknown Module (PID 7664)!0x2dd925bf	Unknown Module (PID 7664)	4	13	1	8	135			102		2	
Unknown Module (PID 7664)!0x2dd92685	Unknown Module (PID 7664)	4	5	16	30	84	18		46		15	
Unknown Module (PID 7664)!0x2dd92703	Unknown Module (PID 7664)	4	8	23	48	80	28		64		18	
Unknown Module (PID 7664)!0x2dd927ef	Unknown Module (PID 7664)	4	24		32	246			168		5	
Unknown Module (PID 7664)!0x2dd9282a	Unknown Module (PID 7664)	4	19	1	20	213			158		1	
Unknown Module (PID 7664)!0x2dd9282f	Unknown Module (PID 7664)	4	7	2	20	92			73			
Unknown Module (PID 7664)!0x2dd92857	Unknown Module (PID 7664)	4	38	2	49	365		1	288		3	
Unknown Module (PID 7664)!0x2dd9289f	Unknown Module (PID 7664)	4	19		20	212			143		1	1
Unknown Module (PID 7664)!0x2dd929fb	Unknown Module (PID 7664)	4		7	8	12	1		13		1	
Unknown Module (PID 7664)!0x2dd92a11	Unknown Module (PID 7664)	4	2	2	11	50	5		7		3	
Unknown Module (PID 7664)!0x2dd92b0f	Unknown Module (PID 7664)	4	11	2	12	148			115		2	
Unknown Module (PID 7664)!0x2dd92b45	Unknown Module (PID 7664)	4	35	1	34	339			312		8	
Unknown Module (PID 7664)!0x2dd92b5f	Unknown Module (PID 7664)	4	11	1	19	101			97		1	
Unknown Module (PID 7664)!0x2dd92ca6	Unknown Module (PID 7664)	4	2	7	12	52	6		13		2	
Unknown Module (PID 7664)!0x2dd92de7	Unknown Module (PID 7664)	4	12	1	17	236			190		1	
Unknown Module (PID 7664)!0x2dd92df8	Unknown Module (PID 7664)	4	42	1	51	473			337		5	
Unknown Module (PID 7664)!0x2dd92e31	Unknown Module (PID 7664)	4	20	1	24	208			182		2	
Unknown Module (PID 7664)!0x2dd92f10	Unknown Module (PID 7664)	4	2	5	24	78	6	1	14		2	
Unknown Module (PID 7664)!0x2dd930c2	Unknown Module (PID 7664)	4	19		17	119			124		2	
Unknown Module (PID 7664)!0x2dd931f5	Unknown Module (PID 7664)	4	5	15	40	87	11	3	28		6	
Unknown Module (PID 7664)!0x2dd93255	Unknown Module (PID 7664)	4	3	20	29	70	7	3	25		5	
Unknown Module (PID 7664)!0x2dd93277	Unknown Module (PID 7664)	4	2	11	28	90	8	3	19		4	
Unknown Module (PID 7664)!0x2dd93389	Unknown Module (PID 7664)	4	28	12	37	293			258			
Unknown Module (PID 7664)!0x2dd93397	Unknown Module (PID 7664)	4	7	1	8	47			64			
Unknown Module (PID 7664)!0x2dd933c3	Unknown Module (PID 7664)	4	19	1	20	148			146		2	
Unknown Module (PID 7664)!0x2dd933dd	Unknown Module (PID 7664)	4	29		27	288			206	1	4	
Unknown Module (PID 7664)!0x2dd934d0	Unknown Module (PID 7664)	4	2	11	26	68	3	2	28		7	
Unknown Module (PID 7664)!0x2dd93502	Unknown Module (PID 7664)	4	5	9	25	87	5		22		4	
Unknown Module (PID 7664)!0x2dd93587	Unknown Module (PID 7664)	4	1	9	29	57	3	3	20		6	
Unknown Module (PID 7664)!0x2dd93655	Unknown Module (PID 7664)	4	14		24	180			163		1	
Unknown Module (PID 7664)!0x2dd9365b	Unknown Module (PID 7664)	4	26		24	166			140		3	
Unknown Module (PID 7664)!0x2dd93826	Unknown Module (PID 7664)	4	4	9	47	66	7	5	29		6	
Unknown Module (PID 7664)!0x2dd93854	Unknown Module (PID 7664)	4	1	15	37	35	5	4	30		8	
Unknown Module (PID 7664)!0x2dd93867	Unknown Module (PID 7664)	4	1	15	34	38	4	7	22		8	
Unknown Module (PID 7664)!0x2dd93935	Unknown Module (PID 7664)	4	14		21	278			192			1
Unknown Module (PID 7664)!0x2dd93975	Unknown Module (PID 7664)	4	27		45	296			234		4	
Unknown Module (PID 7664)!0x2dd93983	Unknown Module (PID 7664)	4	38	1	38	268			262		5	
Unknown Module (PID 7664)!0x2dd93ac2	Unknown Module (PID 7664)	4	6	14	45	43	1	7	33		12	
Unknown Module (PID 7664)!0x2dd93ae4	Unknown Module (PID 7664)	4	2	9	39	42	4	11	29		11	
Unknown Module (PID 7664)!0x2dd93af5	Unknown Module (PID 7664)	4		16	33	40	2	9	36		8	
Unknown Module (PID 7664)!0x2dd93b3b	Unknown Module (PID 7664)	4	4	29	37	28	3	9	28		6	
Unknown Module (PID 7664)!0x2dd93bf5	Unknown Module (PID 7664)	4	11	2	27	122	1	1	64	1	1	1
Unknown Module (PID 7664)!0x2dd93c63	Unknown Module (PID 7664)	4	41	1	44	303			306		7	
Unknown Module (PID 7664)!0x2dd93cd7	Unknown Module (PID 7664)	4	13		15	122			74		2	
Unknown Module (PID 7664)!0x2dd94603	Unknown Module (PID 7664)	4		1	3				5			
Unknown Module (PID 7664)!0x2dd95057	Unknown Module (PID 7664)	4	15		17	150			164		3	
Unknown Module (PID 7664)!0x2dd9507d	Unknown Module (PID 7664)	4	22		21	161			152	1		
Unknown Module (PID 7664)!0x2dd951f0	Unknown Module (PID 7664)	4		5	26	1		5	7		2	
Unknown Module (PID 7664)!0x2dd95997	Unknown Module (PID 7664)	4	11		32	162	1		119		1	
Unknown Module (PID 7664)!0x2dd95bd7	Unknown Module (PID 7664)	4	27	2	41	290			244	4	6	1
Unknown Module (PID 7664)!0x2dd95edd	Unknown Module (PID 7664)	4	29		43	435			368	5	6	1
Unknown Module (PID 7664)!0x2dd99127	Unknown Module (PID 7664)	4	6		10	58			56			
Unknown Module (PID 7664)!0x2dd996ad	Unknown Module (PID 7664)	4	8		9	113			94		1	
Unknown Module (PID 7664)!0x2dd998ba	Unknown Module (PID 7664)	4	6	1	16	135			67			
Unknown Module (PID 7664)!0x2dd998f1	Unknown Module (PID 7664)	4	5		11	110			55		1	
Unknown Module (PID 7664)!0x2dd99b9b	Unknown Module (PID 7664)	4	1		13	90			60			1
Unknown Module (PID 7664)!0x2dd99eb6	Unknown Module (PID 7664)	4	7		6	77			71			
Unknown Module (PID 7664)!0x2dd9a110	Unknown Module (PID 7664)	4	6		9	92			41			
Unknown Module (PID 7664)!0x2dd9a124	Unknown Module (PID 7664)	4	8		10	85			87		4	
Unknown Module (PID 7664)!0x2dd9a385	Unknown Module (PID 7664)	4	9		8	133			62			
Unknown Module (PID 7664)!0x2dd9a397	Unknown Module (PID 7664)	4	9		21	200			93		1	
Unknown Module (PID 7664)!0x2dd9a667	Unknown Module (PID 7664)	4	14		12	126			85			
Unknown Module (PID 7664)!0x2dd9a93f	Unknown Module (PID 7664)	4	13		21	125	1		78			
Unknown Module (PID 7664)!0x2dd9a960	Unknown Module (PID 7664)	4	9	1	7	80			68			
Unknown Module (PID 7664)!0x2dd9a97d	Unknown Module (PID 7664)	4	14		28	255			183		2	
Unknown Module (PID 7664)!0x2dd9ac21	Unknown Module (PID 7664)	4	7		17	168			89		1	
Unknown Module (PID 7664)!0x2dd9ac3b	Unknown Module (PID 7664)	4	13	1	23	206	1		108	1		
Unknown Module (PID 7664)!0x2dd9ac40	Unknown Module (PID 7664)	4	27	1	33	372	1		278	1	11	
Unknown Module (PID 7664)!0x2dd9aee0	Unknown Module (PID 7664)	4	11	1	11	122			64			
Unknown Module (PID 7664)!0x2dd9af01	Unknown Module (PID 7664)	4	4		12	130			62		1	
Unknown Module (PID 7664)!0x2dd9b0fb	Unknown Module (PID 7664)	4	17	1	34	229	1		141	1	5	
Unknown Module (PID 7664)!0x2dd9b12b	Unknown Module (PID 7664)	4	15	1	12	227			127			
Unknown Module (PID 7664)!0x2dd9b13d	Unknown Module (PID 7664)	4	29	1	28	312	1		207			
Unknown Module (PID 7664)!0x2dd9b15c	Unknown Module (PID 7664)	4	2		1	9			29			
Unknown Module (PID 7664)!0x2dd9b3fa	Unknown Module (PID 7664)	4	13		27	193			134		1	
Unknown Module (PID 7664)!0x2dd9b40d	Unknown Module (PID 7664)	4	14		22	196			113			
Unknown Module (PID 7664)!0x2dd9b410	Unknown Module (PID 7664)	4	15		16	144	1		109		1	
Unknown Module (PID 7664)!0x2dd9b43a	Unknown Module (PID 7664)	4	16		16	183			131			
Unknown Module (PID 7664)!0x2dd9b45f	Unknown Module (PID 7664)	4	8		16	180			47			
Unknown Module (PID 7664)!0x2dd9b74f	Unknown Module (PID 7664)	4	5	1	9	222			39	1		
Unknown Module (PID 7664)!0x2dd9b9c7	Unknown Module (PID 7664)	4	15		12	174			107		3	
Unknown Module (PID 7664)!0x2dd9b9e8	Unknown Module (PID 7664)	4	15	1	25	179	2		144	1	1	1
Unknown Module (PID 7664)!0x2dd9bcc4	Unknown Module (PID 7664)	4	12	1	17	155			104		2	
Unknown Module (PID 7664)!0x2dd9bcc7	Unknown Module (PID 7664)	4	18	4	18	135			111		3	
Unknown Module (PID 7664)!0x2dd9bce3	Unknown Module (PID 7664)	4	8	1	24	211			132	1	1	1
Unknown Module (PID 7664)!0x2dd9bf72	Unknown Module (PID 7664)	4	19		13	182			104		1	
Unknown Module (PID 7664)!0x2dd9bf97	Unknown Module (PID 7664)	4	35		20	297			176		4	
Unknown Module (PID 7664)!0x2dd9c196	Unknown Module (PID 7664)	4	17	1	24	206	8		139		1	
Unknown Module (PID 7664)!0x2dd9c1c5	Unknown Module (PID 7664)	4	27	1	21	225			171		1	
Unknown Module (PID 7664)!0x2dd9c20f	Unknown Module (PID 7664)	4	6		8	149			93		1	
Unknown Module (PID 7664)!0x2dd9c4a2	Unknown Module (PID 7664)	4	22	5	20	156			144		3	
Unknown Module (PID 7664)!0x2dd9c4b5	Unknown Module (PID 7664)	4	22	4	17	168			190		1	
Unknown Module (PID 7664)!0x2dd9c7a0	Unknown Module (PID 7664)	4	16		19	233			146		7	
Unknown Module (PID 7664)!0x2dd9c7ab	Unknown Module (PID 7664)	4	26	2	17	283	1		194	1	3	
Unknown Module (PID 7664)!0x2dd9ca61	Unknown Module (PID 7664)	4	17		22	209	1		146	1	3	
Unknown Module (PID 7664)!0x2dd9ca67	Unknown Module (PID 7664)	4	14	2	19	213			146		6	
Unknown Module (PID 7664)!0x2dd9cadc	Unknown Module (PID 7664)	4	7		5	84			69		1	
Unknown Module (PID 7664)!0x2dd9cd2b	Unknown Module (PID 7664)	4	20		36	333			201		2	
Unknown Module (PID 7664)!0x2dd9cf3f	Unknown Module (PID 7664)	4	15	1	29	332			178		2	
Unknown Module (PID 7664)!0x2dd9cf52	Unknown Module (PID 7664)	4	25		27	328			206			
Unknown Module (PID 7664)!0x2dd9d24d	Unknown Module (PID 7664)	4	26	1	36	354			289			
Unknown Module (PID 7664)!0x2dd9d275	Unknown Module (PID 7664)	4	12		13	272	7		159		1	
Unknown Module (PID 7664)!0x2dd9d53d	Unknown Module (PID 7664)	4	31		32	382			284		1	
Unknown Module (PID 7664)!0x2dd9d540	Unknown Module (PID 7664)	4	23	2	31	305			219		6	
Unknown Module (PID 7664)!0x2dd9d804	Unknown Module (PID 7664)	4	25	2	27	261			189		4	
Unknown Module (PID 7664)!0x2dd9dad1	Unknown Module (PID 7664)	4	36	1	55	481			318		7	
Unknown Module (PID 7664)!0x2dd9dae1	Unknown Module (PID 7664)	4	18		30	259			187		5	
Unknown Module (PID 7664)!0x2dd9dd1d	Unknown Module (PID 7664)	4	45	1	74	701	4		499		3	
Unknown Module (PID 7664)!0x2dd9dd3c	Unknown Module (PID 7664)	4	6		11	74			85			
Unknown Module (PID 7664)!0x2dd9dd53	Unknown Module (PID 7664)	4	44		23	342			194			
Unknown Module (PID 7664)!0x2dd9dd5b	Unknown Module (PID 7664)	4	6		13	107			86		1	
Unknown Module (PID 7664)!0x2dd9df99	Unknown Module (PID 7664)	4	9		15	46			99			
Unknown Module (PID 7664)!0x2dd9e2b6	Unknown Module (PID 7664)	4	27		31	296			262	1	1	
Unknown Module (PID 7664)!0x2dd9e2bb	Unknown Module (PID 7664)	4	33	2	63	372	8		334	3		
Unknown Module (PID 7664)!0x2dd9e2e0	Unknown Module (PID 7664)	4	40		30	302			272			
Unknown Module (PID 7664)!0x2dd9e5f1	Unknown Module (PID 7664)	4	37		28	330			268		9	
Unknown Module (PID 7664)!0x2dd9e890	Unknown Module (PID 7664)	4	31		41	429	1		231	1	4	
Unknown Module (PID 7664)!0x2dd9e8cb	Unknown Module (PID 7664)	4	41	7	46	449			325		4	
Unknown Module (PID 7664)!0x2dd9e8e1	Unknown Module (PID 7664)	4	34		36	420			212		3	
Unknown Module (PID 7664)!0x2dd9ebd2	Unknown Module (PID 7664)	4	23		26	339			227		10	
Unknown Module (PID 7664)!0x2dd9ec00	Unknown Module (PID 7664)	4	10		17	180			47			1
Unknown Module (PID 7664)!0x2dd9eedb	Unknown Module (PID 7664)	4	14	1	19	125			90	1	3	
Unknown Module (PID 7664)!0x2dd9f461	Unknown Module (PID 7664)	4	43		31	366			258		5	
Unknown Module (PID 7664)!0x2dd9f6b2	Unknown Module (PID 7664)	4	8		8	81			79			
Unknown Module (PID 7664)!0x2dd9f946	Unknown Module (PID 7664)	4	22		48	263	1		252		1	
Unknown Module (PID 7664)!0x2dd9f9bf	Unknown Module (PID 7664)	4	22	2	41	373			199			
Unknown Module (PID 7664)!0x2dda03e0	Unknown Module (PID 7664)	4	6		13	154			78		1	
Unknown Module (PID 7664)!0x2dda047f	Unknown Module (PID 7664)	4	24	1	29	394	1		216			
Unknown Module (PID 7664)!0x2dda06c5	Unknown Module (PID 7664)	4			12						1	
Unknown Module (PID 7664)!0x2dda0a74	Unknown Module (PID 7664)	4	6		12	181			48			
Unknown Module (PID 7664)!0x2dda104c	Unknown Module (PID 7664)	4	36	2	37	381			294		4	
Unknown Module (PID 7664)!0x2dda12d7	Unknown Module (PID 7664)	4	42	2	67	552			411	1	6	
Unknown Module (PID 7664)!0x2dda1802	Unknown Module (PID 7664)	4	12		18	266			152			
Unknown Module (PID 7664)!0x2dda1812	Unknown Module (PID 7664)	4	11		25	264			88			
Unknown Module (PID 7664)!0x2dda182b	Unknown Module (PID 7664)	4	10	1	17	207			166		2	
Unknown Module (PID 7664)!0x2dda1838	Unknown Module (PID 7664)	4	25		21	222			181			
Unknown Module (PID 7664)!0x2dda1dff	Unknown Module (PID 7664)	4	7		31	174			104		3	
Unknown Module (PID 7664)!0x2dda26f4	Unknown Module (PID 7664)	4	2		10	161			11			
Unknown Module (PID 7664)!0x2dda2af3	Unknown Module (PID 7664)	4	14		16	313			197			
Unknown Module (PID 7664)!0x2dda2ba2	Unknown Module (PID 7664)	4	15		13	260			144			
Unknown Module (PID 7664)!0x2dda2e09	Unknown Module (PID 7664)	4	26	4	28	191	1		159			
Unknown Module (PID 7664)!0x2dda2e28	Unknown Module (PID 7664)	4	17		16	95			120			
Unknown Module (PID 7664)!0x2dda2ed3	Unknown Module (PID 7664)	4	6		7	131			57		1	
Unknown Module (PID 7664)!0x2dda310d	Unknown Module (PID 7664)	4	9		25	459	1		49	1	1	
Unknown Module (PID 7664)!0x2dda3eca	Unknown Module (PID 7664)	4	17		19	234			157	1	1	
Unknown Module (PID 7664)!0x2dda4199	Unknown Module (PID 7664)	4			16	54						
Unknown Module (PID 7664)!0x2dda4238	Unknown Module (PID 7664)	4	4		16	179			104		1	
Unknown Module (PID 7664)!0x2dda44a6	Unknown Module (PID 7664)	4	10	9	38	113	1		87		3	
Unknown Module (PID 7664)!0x2dda452d	Unknown Module (PID 7664)	4	5		2	66			64		1	
Unknown Module (PID 7664)!0x2dda47a6	Unknown Module (PID 7664)	4	1	3	14	23			39	1	1	
Unknown Module (PID 7664)!0x2dda4c65	Unknown Module (PID 7664)	4	26		25	421			203			
Unknown Module (PID 7664)!0x2dda4c84	Unknown Module (PID 7664)	4	24		26	239			171			
Unknown Module (PID 7664)!0x2dda5253	Unknown Module (PID 7664)	4	8		25	113			7		1	
Unknown Module (PID 7664)!0x2dda52e2	Unknown Module (PID 7664)	4		1	21	272						
Unknown Module (PID 7664)!0x2dda52f7	Unknown Module (PID 7664)	4			25	98						
Unknown Module (PID 7664)!0x2dda55c2	Unknown Module (PID 7664)	4	13		13	253			73		1	
Unknown Module (PID 7664)!0x2dda55d6	Unknown Module (PID 7664)	4	12		23	101			146			
Unknown Module (PID 7664)!0x2dda583d	Unknown Module (PID 7664)	4	10	1	17	191			71		1	
Unknown Module (PID 7664)!0x2dda61a0	Unknown Module (PID 7664)	4	12		11	76			74		1	
Unknown Module (PID 7664)!0x2dda69b2	Unknown Module (PID 7664)	4	1	2	17	36			29		4	
Unknown Module (PID 7664)!0x2dda6f57	Unknown Module (PID 7664)	4	24		18	181			90		1	
Unknown Module (PID 7664)!0x2dda6f68	Unknown Module (PID 7664)	4	13		14	158			137		1	
Unknown Module (PID 7664)!0x2dda6f76	Unknown Module (PID 7664)	4	17		22	142			153			
Unknown Module (PID 7664)!0x2dda6f87	Unknown Module (PID 7664)	4			16	17					1	
Unknown Module (PID 7664)!0x2dda7253	Unknown Module (PID 7664)	4	6		10	104			72			
Unknown Module (PID 7664)!0x2dda7263	Unknown Module (PID 7664)	4			13	148					1	
Unknown Module (PID 7664)!0x2dda7270	Unknown Module (PID 7664)	4	17	1	42	583			96		4	
Unknown Module (PID 7664)!0x2dda77ff	Unknown Module (PID 7664)	4	7		9	134			83			
Unknown Module (PID 7664)!0x2dda7999	Unknown Module (PID 7664)	4	11	7	35	247	5	1	104	1		1
Unknown Module (PID 7664)!0x2dda7a22	Unknown Module (PID 7664)	4	42		40	323	1		318		1	
Unknown Module (PID 7664)!0x2dda7c90	Unknown Module (PID 7664)	4	16	1	22	412	1		176		1	
Unknown Module (PID 7664)!0x2dda7c9d	Unknown Module (PID 7664)	4	23		22	295			99			
Unknown Module (PID 7664)!0x2dda7ca8	Unknown Module (PID 7664)	4	18	3	14	352	1		182			
Unknown Module (PID 7664)!0x2dda7f80	Unknown Module (PID 7664)	4	1		8	5	1		2		3	
Unknown Module (PID 7664)!0x2dda85f0	Unknown Module (PID 7664)	4	9		12	109			73		2	
Unknown Module (PID 7664)!0x2dda8607	Unknown Module (PID 7664)	4	6	1	17	138			77			
Unknown Module (PID 7664)!0x2dda8876	Unknown Module (PID 7664)	4	8	8	30	84			86		2	
Unknown Module (PID 7664)!0x2dda88eb	Unknown Module (PID 7664)	4	18		28	254			166		1	1
Unknown Module (PID 7664)!0x2dda8d54	Unknown Module (PID 7664)	4	41		41	339			266			
Unknown Module (PID 7664)!0x2dda8dd6	Unknown Module (PID 7664)	4	48	1	57	652			484		2	
Unknown Module (PID 7664)!0x2dda8e11	Unknown Module (PID 7664)	4	7		13	148			59			
Unknown Module (PID 7664)!0x2dda9025	Unknown Module (PID 7664)	4			40	1	1		2		1	
Unknown Module (PID 7664)!0x2dda90bc	Unknown Module (PID 7664)	4	23		33	113			373			
Unknown Module (PID 7664)!0x2dda92f6	Unknown Module (PID 7664)	4			25	1			9		3	
Unknown Module (PID 7664)!0x2dda939c	Unknown Module (PID 7664)	4	45	2	45	994			247	1		
Unknown Module (PID 7664)!0x2dda93a2	Unknown Module (PID 7664)	4	18		50	790			159			
Unknown Module (PID 7664)!0x2dda95ef	Unknown Module (PID 7664)	4	1	1	14	456					4	
Unknown Module (PID 7664)!0x2dda968c	Unknown Module (PID 7664)	4	19	2	26	267			181		2	
Unknown Module (PID 7664)!0x2dda990d	Unknown Module (PID 7664)	4			17	9			5			1
Unknown Module (PID 7664)!0x2dda997d	Unknown Module (PID 7664)	4	13		16	129			127			
Unknown Module (PID 7664)!0x2dda9980	Unknown Module (PID 7664)	4	16		19	157			128			
Unknown Module (PID 7664)!0x2dda9983	Unknown Module (PID 7664)	4	14		12	150			122			
Unknown Module (PID 7664)!0x2dda99ac	Unknown Module (PID 7664)	4	1	1	17	69	1				3	
Unknown Module (PID 7664)!0x2dda9c80	Unknown Module (PID 7664)	4	21	2	25	180			124	1		
Unknown Module (PID 7664)!0x2dda9ca8	Unknown Module (PID 7664)	4	2		17	68					1	
Unknown Module (PID 7664)!0x2dda9f80	Unknown Module (PID 7664)	4	8		18	125			89		6	
Unknown Module (PID 7664)!0x2ddaa2a4	Unknown Module (PID 7664)	4	5		26	214			12		4	
Unknown Module (PID 7664)!0x2ddaa57b	Unknown Module (PID 7664)	4	17	1	28	270			200		3	
Unknown Module (PID 7664)!0x2ddaa58d	Unknown Module (PID 7664)	4	5		5	39			30		1	
Unknown Module (PID 7664)!0x2ddaa792	Unknown Module (PID 7664)	4	2	1	6	29			31		1	1
Unknown Module (PID 7664)!0x2ddaaa88	Unknown Module (PID 7664)	4	49		54	643			506	1	2	
Unknown Module (PID 7664)!0x2ddaaf8f	Unknown Module (PID 7664)	4	13		11	209			175	2	4	
Unknown Module (PID 7664)!0x2ddaafbd	Unknown Module (PID 7664)	4	8		20	651			114			
Unknown Module (PID 7664)!0x2ddaafc8	Unknown Module (PID 7664)	4	13	2	15	410			138		1	
Unknown Module (PID 7664)!0x2ddab2b4	Unknown Module (PID 7664)	4	9	1	15	27			90		2	
