Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	L1 DTLB hit	DRAM accesses	Read req L3	L3 misses
Unknown Module (PID 7664)!0x2dd9579b	Unknown Module (PID 7664)	2061	474	2001	12740	6005	143	894	3841	89	1123	38
Unknown Module (PID 7664)!0x2dd957ac	Unknown Module (PID 7664)	2029	428	2089	12335	6171	123	851	3346	78	1167	53
Unknown Module (PID 7664)!0x2dd95779	Unknown Module (PID 7664)	2024	420	2102	12520	7508	157	919	3454	92	1215	41
Unknown Module (PID 7664)!0x2dd9575d	Unknown Module (PID 7664)	1993	411	2084	11921	10083	135	595	3481	77	941	45
multiply_matrices_ijk_ikj_1250_125(void)	OMPMul.exe	1983	8219	649	9980	103939	137	4	69402	67	1280	20
Unknown Module (PID 7664)!0x2ddb383b	Unknown Module (PID 7664)	1962	3920	361	10780	54104	8	37	38266	1206	793	430
multiply_matrices_ijk_ikj_1200_1200(void)	OMPMul.exe	1958	7202	193	10598	88067	14	17	58860	299	953	140
Unknown Module (PID 7664)!0x2dd957ce	Unknown Module (PID 7664)	1929	369	2023	12191	5548	110	863	3071	89	1119	47
Unknown Module (PID 7664)!0x2dd957df	Unknown Module (PID 7664)	1916	329	1955	12110	5540	115	858	2769	95	1080	42
Unknown Module (PID 7664)!0x2dd957f0	Unknown Module (PID 7664)	1888	426	2054	12127	5224	118	839	3704	90	1127	46
multiply_matrices_ikj_1200(void)	OMPMul.exe	1885	6706	197	10604	79162	19	12	58982	302	993	140
multiply_matrices_ijk_650(void)	OMPMul.exe	1865	751	3273	10346	9735	1262	778	6036	102	2135	45
Unknown Module (PID 7664)!0x2ddb18ab	Unknown Module (PID 7664)	1862	3579	318	10011	50470	21	34	37415	954	757	299
multiply_matrices_ijk_ikj_1050_210(void)	OMPMul.exe	1855	8749	467	11325	108744	110	5	77638	64	1365	25
multiply_matrices_ijk_ikj_1250_50(void)	OMPMul.exe	1848	8015	206	9541	109714	283	11	71365	129	380	43
Unknown Module (PID 7664)!0x2dd9495d	Unknown Module (PID 7664)	1844	404	2129	11487	4633	268	784	3260	33	1126	20
Unknown Module (PID 7664)!0x2dd9493b	Unknown Module (PID 7664)	1836	440	1966	11296	5349	271	763	3907	37	1122	11
Unknown Module (PID 7664)!0x2dd94919	Unknown Module (PID 7664)	1767	462	1969	10670	7387	284	763	3760	37	1136	15
Unknown Module (PID 7664)!0x2dd9494c	Unknown Module (PID 7664)	1759	449	2026	11337	4920	260	755	3572	29	1161	14
Unknown Module (PID 7664)!0x2dd95761	Unknown Module (PID 7664)	1757	472	2033	10831	3887	74	914	3597	71	1084	32
Unknown Module (PID 7664)!0x2dd9496e	Unknown Module (PID 7664)	1750	388	1968	11029	4368	221	781	2999	42	1147	9
multiply_matrices_ijk_ikj_1250_250(void)	OMPMul.exe	1746	7471	385	9434	92959	76	5	65789	80	1143	23
Unknown Module (PID 7664)!0x2dd9492a	Unknown Module (PID 7664)	1746	488	1984	11170	6151	272	739	3839	22	1175	8
Unknown Module (PID 7664)!0x2dd94990	Unknown Module (PID 7664)	1742	439	1917	10872	4941	247	732	3630	28	1124	11
multiply_matrices_ijk_ikj_1000_50(void)	OMPMul.exe	1721	8131	207	9999	114093	313	11	72103	108	326	35
Unknown Module (PID 7664)!0x2dd9497f	Unknown Module (PID 7664)	1674	344	1899	10755	4744	186	817	2726	31	1096	8
multiply_matrices_ijk_ikj_1200_400(void)	OMPMul.exe	1657	6895	280	9339	87377	52	17	60323	46	1014	15
multiply_matrices_ijk_ikj_1000_100(void)	OMPMul.exe	1641	7587	453	8639	90724	152	2	65306	82	723	22
multiply_matrices_ijk_ikj_950_475(void)	OMPMul.exe	1607	6903	283	9295	86181	29	24	60306	42	1014	16
Unknown Module (PID 7664)!0x2dd948fd	Unknown Module (PID 7664)	1606	428	1993	10366	10481	230	484	3454	32	897	11
multiply_matrices_ijk_ikj_1200_600(void)	OMPMul.exe	1570	6772	270	9227	85864	26	23	60489	47	939	12
multiply_matrices_ijk_ikj_1200_150(void)	OMPMul.exe	1555	7149	472	8928	89132	105	2	63202	61	1156	25
multiply_matrices_ijk_ikj_950_950(void)	OMPMul.exe	1549	6705	219	8837	84736	17	19	59935	61	923	11
Unknown Module (PID 7664)!0x2dd94901	Unknown Module (PID 7664)	1549	408	1934	9674	4623	200	702	3262	32	1016	11
multiply_matrices_ijk_ikj_1100_100(void)	OMPMul.exe	1513	6690	414	7839	79495	135	2	56189	102	679	31
multiply_matrices_ijk_ikj_1200_300(void)	OMPMul.exe	1505	6900	321	9279	88816	72	8	59727	46	1062	13
multiply_matrices_ijk_ikj_1200_240(void)	OMPMul.exe	1502	6992	355	9050	86440	76	3	61451	65	1103	24
multiply_matrices_ijk_ikj_1200_200(void)	OMPMul.exe	1494	6926	397	9156	86693	89	5	62084	60	1161	18
Unknown Module (PID 7664)!0x2dd946b0	Unknown Module (PID 7664)	1455	371	1580	8505	4636	248	620	3052	15	835	7
Unknown Module (PID 7664)!0x2dd9465b	Unknown Module (PID 7664)	1445	393	1677	9154	4333	289	622	3177	32	922	5
Unknown Module (PID 7664)!0x2dd9468e	Unknown Module (PID 7664)	1445	328	1636	9031	4624	240	601	2523	32	838	11
Unknown Module (PID 7664)!0x2dd9464a	Unknown Module (PID 7664)	1443	406	1705	8940	5224	265	650	3068	19	925	4
Unknown Module (PID 7664)!0x2dd94639	Unknown Module (PID 7664)	1441	389	1619	8890	6405	297	618	3237	31	911	10
Unknown Module (PID 7664)!0x2dd9466c	Unknown Module (PID 7664)	1431	382	1724	9182	4078	291	589	2999	27	1003	3
multiply_matrices_ijk_ikj_900_60(void)	OMPMul.exe	1408	6186	153	8115	79206	195	6	53687	70	229	18
Unknown Module (PID 7664)!0x2dd9467d	Unknown Module (PID 7664)	1407	339	1681	9211	3955	265	646	2782	19	990	8
Unknown Module (PID 7664)!0x2dd94f1d	Unknown Module (PID 7664)	1349	294	1454	8466	4452	119	555	2188	18	813	15
Unknown Module (PID 7664)!0x2dd94f2e	Unknown Module (PID 7664)	1330	245	1378	8045	4395	120	570	2027	33	753	10
Unknown Module (PID 7664)!0x2dd94f0c	Unknown Module (PID 7664)	1323	324	1409	8058	4343	140	540	2386	22	802	10
Unknown Module (PID 7664)!0x2dd9469f	Unknown Module (PID 7664)	1322	274	1629	8669	4556	175	629	2264	18	921	9
Unknown Module (PID 7664)!0x2dd94c0a	Unknown Module (PID 7664)	1308	320	1343	7871	4178	164	588	2602	27	807	14
Unknown Module (PID 7664)!0x2dd94f3f	Unknown Module (PID 7664)	1308	234	1337	7976	3871	120	581	1912	27	725	8
Unknown Module (PID 7664)!0x2dd9461d	Unknown Module (PID 7664)	1301	394	1660	8326	8689	246	430	2998	19	745	10
Unknown Module (PID 7664)!0x2dd94f50	Unknown Module (PID 7664)	1289	292	1330	7861	3493	123	533	2521	18	674	6
Unknown Module (PID 7664)!0x2dd94c4e	Unknown Module (PID 7664)	1281	226	1415	7840	3160	134	537	2095	30	765	14
