Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_ikj_1400_100(void)	OMPMul.exe	1100	5745	372	6469	11693	602	13	56	36
multiply_matrices_ijk_ikj_1100_100(void)	OMPMul.exe	1059	5596	341	6234	11407	571	11	50	29
multiply_matrices_ijk_ikj_1000_500(void)	OMPMul.exe	1044	4244	364	6481	7729	69	5	24	15
multiply_matrices_ijk_ikj_1000_100(void)	OMPMul.exe	1017	4352	649	5757	8396	400	8	36	17
multiply_matrices_ijk_ikj_1000_1000(void)	OMPMul.exe	998	4213	207	6261	7487	8	30	41	21
multiply_matrices_ijk_ikj_950_950(void)	OMPMul.exe	978	4507	174	6010	6492	9	23	24	13
multiply_matrices_ikj_1000(void)	OMPMul.exe	976	4158	204	5956	6814	10	31	29	16
multiply_matrices_ikj_950(void)	OMPMul.exe	967	4518	170	5862	5956	9	26	19	10
multiply_matrices_ijk_ikj_1000_50(void)	OMPMul.exe	951	5563	201	5739	10242	738	18	30	17
multiply_matrices_ijk_ikj_1000_250(void)	OMPMul.exe	937	4924	472	5211	7200	165	4	27	15
multiply_matrices_ijk_650(void)	OMPMul.exe	919	2214	1476	5587	3947	8417	54	85	49
multiply_matrices_ijk_ikj_950_190(void)	OMPMul.exe	901	4421	493	5038	6763	173	2	30	17
multiply_matrices_ijk_ikj_950_95(void)	OMPMul.exe	881	5546	231	5061	8178	336	8	23	8
multiply_matrices_ijk_ikj_900_450(void)	OMPMul.exe	856	3557	244	4890	5195	59	1	23	13
multiply_matrices_ijk_ikj_1000_200(void)	OMPMul.exe	854	4009	610	4968	7094	193	4	28	19
multiply_matrices_ijk_ikj_850_425(void)	OMPMul.exe	821	3731	212	4842	4492	45	2	17	9
multiply_matrices_ijk_ikj_950_50(void)	OMPMul.exe	819	4903	156	5019	8968	583	15	30	17
multiply_matrices_ijk_ikj_900_150(void)	OMPMul.exe	783	3895	496	4484	6052	171	4	25	10
multiply_matrices_ijk_ikj_900_225(void)	OMPMul.exe	776	4246	369	4446	5195	117	1	24	14
clean_1500(void)	OMPMul.exe	738	4075	29	4532	10538			65	28
clean_1350(void)	OMPMul.exe	736	3922	27	4547	12589			37	15
multiply_matrices_ijk_ikj_900_900(void)	OMPMul.exe	732	3070	141	4389	5376	8	19	9	5
clean_1200(void)	OMPMul.exe	731	3891	27	4440	11392			48	8
