Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_600_24,1367777777.7778,367555555.5556,304000000.0000,44444.4444,0.0000,590222222.2222,1177777.7778,227777.7778,411111.1111,416666.6667,0.0000,0.0317
ijk_700,1342444444.4444,1548666666.6667,1281111111.1111,44444.4444,0.0000,393244444.4444,385266666.6667,352066666.6667,15972222.2222,15883333.3333,11111.1111,0.1147
ijk_ikj_600_50,1292666666.6667,360666666.6667,300888888.8889,0.0000,0.0000,523311111.1111,933333.3333,416666.6667,200000.0000,211111.1111,0.0000,0.0264
ijk_ikj_600_40,1275333333.3333,370222222.2222,306888888.8889,0.0000,0.0000,450311111.1111,800000.0000,516666.6667,294444.4444,294444.4444,5555.5556,0.0288
ijk_ikj_600_75,1249333333.3333,356888888.8889,296666666.6667,22222.2222,0.0000,459666666.6667,4088888.8889,3438888.8889,222222.2222,200000.0000,5555.5556,0.0289
ijk_ikj_600_60,1230666666.6667,360444444.4444,297555555.5556,44444.4444,0.0000,452533333.3333,1088888.8889,666666.6667,222222.2222,194444.4444,11111.1111,0.0340
ijk_ikj_600_100,1192888888.8889,449777777.7778,372000000.0000,0.0000,0.0000,414844444.4444,7688888.8889,8166666.6667,255555.5556,300000.0000,22222.2222,0.0396
ijk_ikj_600_150,1191555555.5556,396888888.8889,330222222.2222,0.0000,0.0000,382000000.0000,7533333.3333,8377777.7778,883333.3333,872222.2222,22222.2222,0.0301
ikj_900,1189555555.5556,498666666.6667,408444444.4444,0.0000,0.0000,235044444.4444,29822222.2222,25116666.6667,4488888.8889,4138888.8889,344444.4444,0.1439
ijk_ikj_600_120,1186222222.2222,398888888.8889,330222222.2222,22222.2222,0.0000,492755555.5556,9955555.5556,6700000.0000,305555.5556,305555.5556,5555.5556,0.0447
ijk_ikj_550_22,1150888888.8889,299333333.3333,248444444.4444,0.0000,0.0000,295088888.8889,600000.0000,388888.8889,561111.1111,550000.0000,5555.5556,0.0247
ijk_ikj_500_10,1126000000.0000,307111111.1111,253777777.7778,22222.2222,0.0000,321844444.4444,2288888.8889,1705555.5556,372222.2222,338888.8889,5555.5556,0.0248
ijk_ikj_550_25,1100000000.0000,290888888.8889,240444444.4444,0.0000,0.0000,471422222.2222,1044444.4444,238888.8889,300000.0000,316666.6667,5555.5556,0.0237
ijk_650,1076000000.0000,1228666666.6667,1017111111.1111,44444.4444,0.0000,310977777.7778,311755555.5556,284688888.8889,12394444.4444,12333333.3333,22222.2222,0.0916
ikj_850,1001333333.3333,459333333.3333,375111111.1111,0.0000,0.0000,212333333.3333,20577777.7778,15650000.0000,2844444.4444,2744444.4444,88888.8889,0.1364
ijk_ikj_550_50,996222222.2222,270666666.6667,222444444.4444,0.0000,0.0000,292333333.3333,444444.4444,383333.3333,222222.2222,216666.6667,5555.5556,0.0263
ijk_ikj_550_55,994888888.8889,276666666.6667,230444444.4444,44444.4444,0.0000,451422222.2222,777777.7778,361111.1111,144444.4444,138888.8889,11111.1111,0.0236
ijk_ikj_550_110,932444444.4444,286888888.8889,237777777.7778,44444.4444,0.0000,260133333.3333,5600000.0000,8272222.2222,244444.4444,216666.6667,0.0000,0.0346
ijk_600,845777777.7778,958222222.2222,792666666.6667,22222.2222,0.0000,244777777.7778,226222222.2222,223433333.3333,10094444.4444,10050000.0000,16666.6667,0.0717
ijk_ikj_500_25,826666666.6667,232666666.6667,192222222.2222,44444.4444,0.0000,244222222.2222,555555.5556,394444.4444,316666.6667,333333.3333,0.0000,0.0214
ikj_800,824666666.6667,339777777.7778,279555555.5556,0.0000,0.0000,168155555.5556,22222222.2222,16961111.1111,2966666.6667,2900000.0000,83333.3333,0.0979
ijk_ikj_450_10,820888888.8889,214222222.2222,175555555.5556,44444.4444,0.0000,275022222.2222,1866666.6667,1022222.2222,200000.0000,200000.0000,0.0000,0.0244
ijk_ikj_500_20,819333333.3333,243777777.7778,201777777.7778,0.0000,0.0000,280888888.8889,844444.4444,405555.5556,333333.3333,344444.4444,5555.5556,0.0179
ijk_ikj_500_50,748222222.2222,212222222.2222,175555555.5556,0.0000,0.0000,319555555.5556,666666.6667,283333.3333,138888.8889,105555.5556,0.0000,0.0244
ikj_750,717333333.3333,325111111.1111,267777777.7778,0.0000,0.0000,126511111.1111,11088888.8889,13433333.3333,2266666.6667,2183333.3333,83333.3333,0.0940
ijk_ikj_450_15,717111111.1111,207333333.3333,171111111.1111,0.0000,0.0000,184488888.8889,600000.0000,522222.2222,322222.2222,311111.1111,0.0000,0.0224
ijk_ikj_500_125,692000000.0000,236000000.0000,195333333.3333,0.0000,0.0000,286688888.8889,5733333.3333,3972222.2222,200000.0000,188888.8889,5555.5556,0.0194
ijk_ikj_500_100,690444444.4444,221333333.3333,182888888.8889,22222.2222,0.0000,209755555.5556,4444444.4444,5944444.4444,138888.8889,133333.3333,5555.5556,0.0262
ijk_ikj_450_18,664666666.6667,174000000.0000,142888888.8889,0.0000,0.0000,251377777.7778,666666.6667,277777.7778,200000.0000,188888.8889,0.0000,0.0159
ijk_550,652222222.2222,739333333.3333,609777777.7778,0.0000,0.0000,221355555.5556,153666666.6667,140477777.7778,6694444.4444,6688888.8889,0.0000,0.0553
ijk_ikj_450_25,602666666.6667,172222222.2222,143111111.1111,0.0000,0.0000,157244444.4444,355555.5556,272222.2222,227777.7778,216666.6667,5555.5556,0.0189
ijk_ikj_450_30,589777777.7778,162444444.4444,133555555.5556,0.0000,0.0000,204511111.1111,488888.8889,233333.3333,166666.6667,161111.1111,11111.1111,0.0188
ikj_700,576444444.4444,234222222.2222,193333333.3333,0.0000,0.0000,114511111.1111,13400000.0000,11988888.8889,1988888.8889,1966666.6667,33333.3333,0.0694
ijk_ikj_400_10,576000000.0000,144222222.2222,120444444.4444,0.0000,0.0000,160888888.8889,977777.7778,922222.2222,77777.7778,111111.1111,0.0000,0.0130
ijk_ikj_450_45,547555555.5556,155333333.3333,128222222.2222,0.0000,0.0000,237955555.5556,488888.8889,211111.1111,83333.3333,83333.3333,0.0000,0.0212
ijk_ikj_450_50,546222222.2222,152666666.6667,126666666.6667,0.0000,0.0000,173377777.7778,288888.8889,238888.8889,83333.3333,100000.0000,0.0000,0.0176
ijk_ikj_450_75,527111111.1111,162888888.8889,134222222.2222,22222.2222,0.0000,209666666.6667,1533333.3333,1172222.2222,66666.6667,55555.5556,5555.5556,0.0170
ijk_ikj_450_90,516222222.2222,157555555.5556,131777777.7778,0.0000,0.0000,194711111.1111,4000000.0000,3277777.7778,116666.6667,111111.1111,5555.5556,0.0217
ijk_500,488666666.6667,544222222.2222,450888888.8889,0.0000,0.0000,219444444.4444,56977777.7778,53755555.5556,5038888.8889,4983333.3333,0.0000,0.0407
ikj_650,464666666.6667,206888888.8889,170888888.8889,0.0000,0.0000,92733333.3333,8377777.7778,7700000.0000,1400000.0000,1383333.3333,5555.5556,0.0622
ijk_ikj_400_16,441111111.1111,120000000.0000,98222222.2222,0.0000,0.0000,116733333.3333,422222.2222,411111.1111,144444.4444,150000.0000,5555.5556,0.0124
ijk_ikj_400_25,423333333.3333,116888888.8889,96888888.8889,0.0000,0.0000,153755555.5556,355555.5556,177777.7778,127777.7778,122222.2222,0.0000,0.0104
ijk_ikj_400_20,418666666.6667,119555555.5556,98666666.6667,0.0000,0.0000,139755555.5556,333333.3333,227777.7778,122222.2222,116666.6667,11111.1111,0.0122
ijk_ikj_350_10,385333333.3333,109111111.1111,89555555.5556,0.0000,0.0000,105711111.1111,688888.8889,588888.8889,61111.1111,83333.3333,0.0000,0.0097
ijk_ikj_400_50,382666666.6667,111111111.1111,92888888.8889,0.0000,0.0000,123000000.0000,200000.0000,255555.5556,55555.5556,72222.2222,0.0000,0.0097
ijk_ikj_400_40,378000000.0000,114888888.8889,94888888.8889,0.0000,0.0000,139311111.1111,222222.2222,144444.4444,61111.1111,77777.7778,11111.1111,0.0122
