Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_800_20,3021600000.0000,847800000.0000,700600000.0000,60000.0000,0.0000,1009680000.0000,2660000.0000,555000.0000,1960000.0000,1975000.0000,10000.0000,0.0590
ijk_950,3016000000.0000,3800800000.0000,3130800000.0000,11700000.0000,0.0000,848260000.0000,855360000.0000,804355000.0000,55490000.0000,54315000.0000,450000.0000,0.2831
ijk_ikj_750_15,2990800000.0000,754000000.0000,623600000.0000,40000.0000,0.0000,974080000.0000,3200000.0000,820000.0000,2050000.0000,2055000.0000,5000.0000,0.0576
ikj_1250,2847200000.0000,1649200000.0000,1281800000.0000,320000.0000,0.0000,564160000.0000,52960000.0000,45320000.0000,10345000.0000,6050000.0000,4295000.0000,0.4329
ijk_ikj_800_32,2795400000.0000,794400000.0000,654600000.0000,60000.0000,0.0000,1049200000.0000,2800000.0000,1325000.0000,1075000.0000,1050000.0000,25000.0000,0.0624
ijk_ikj_700_10,2781800000.0000,711400000.0000,590400000.0000,20000.0000,0.0000,784880000.0000,5480000.0000,3420000.0000,1865000.0000,1870000.0000,5000.0000,0.0547
ijk_ikj_800_50,2759800000.0000,750400000.0000,621400000.0000,20000.0000,0.0000,1011940000.0000,1460000.0000,960000.0000,470000.0000,480000.0000,30000.0000,0.0596
ijk_ikj_800_40,2720000000.0000,751000000.0000,621000000.0000,20000.0000,0.0000,981460000.0000,1740000.0000,1095000.0000,640000.0000,650000.0000,15000.0000,0.0571
ijk_ikj_800_80,2575600000.0000,779200000.0000,644400000.0000,20000.0000,0.0000,873920000.0000,13800000.0000,14345000.0000,445000.0000,370000.0000,25000.0000,0.0682
ijk_900,2566400000.0000,3034800000.0000,2507800000.0000,2760000.0000,0.0000,714500000.0000,715360000.0000,698005000.0000,40805000.0000,40155000.0000,255000.0000,0.2380
ijk_ikj_800_100,2546800000.0000,818800000.0000,677600000.0000,0.0000,0.0000,854320000.0000,19260000.0000,20570000.0000,450000.0000,470000.0000,40000.0000,0.0593
ijk_ikj_750_25,2511000000.0000,700600000.0000,579800000.0000,0.0000,0.0000,906400000.0000,2260000.0000,565000.0000,1170000.0000,1130000.0000,10000.0000,0.0539
ijk_ikj_800_160,2503400000.0000,856400000.0000,707200000.0000,20000.0000,0.0000,838860000.0000,17960000.0000,17710000.0000,2465000.0000,2405000.0000,30000.0000,0.0962
ikj_1200,2499400000.0000,1307600000.0000,1027000000.0000,80000.0000,0.0000,491320000.0000,60940000.0000,50960000.0000,11130000.0000,6695000.0000,4435000.0000,0.3418
ijk_ikj_800_200,2489400000.0000,908600000.0000,747000000.0000,20000.0000,0.0000,861600000.0000,15860000.0000,13770000.0000,3400000.0000,3305000.0000,50000.0000,0.0635
ijk_ikj_750_30,2455400000.0000,678200000.0000,558600000.0000,20000.0000,20000.0000,976400000.0000,2020000.0000,690000.0000,745000.0000,735000.0000,10000.0000,0.0541
ijk_ikj_700_14,2436600000.0000,640800000.0000,530000000.0000,20000.0000,0.0000,764660000.0000,2780000.0000,1060000.0000,1545000.0000,1530000.0000,5000.0000,0.0479
ikj_1150,2277600000.0000,1219800000.0000,957200000.0000,20000.0000,0.0000,477800000.0000,43260000.0000,35615000.0000,7225000.0000,4935000.0000,2275000.0000,0.3232
ijk_ikj_750_50,2273800000.0000,648200000.0000,536600000.0000,20000.0000,0.0000,943080000.0000,1680000.0000,1045000.0000,390000.0000,365000.0000,20000.0000,0.0521
ijk_ikj_650_10,2225400000.0000,576000000.0000,476400000.0000,40000.0000,0.0000,597140000.0000,4300000.0000,3145000.0000,1315000.0000,1320000.0000,0.0000,0.0438
ijk_ikj_750_75,2196200000.0000,655600000.0000,544200000.0000,0.0000,0.0000,871480000.0000,7040000.0000,5230000.0000,315000.0000,290000.0000,30000.0000,0.0551
ijk_850,2161600000.0000,2538200000.0000,2091600000.0000,340000.0000,0.0000,621060000.0000,619900000.0000,565590000.0000,34725000.0000,34405000.0000,130000.0000,0.1837
ijk_ikj_750_125,2102200000.0000,682000000.0000,563800000.0000,0.0000,0.0000,737060000.0000,16020000.0000,15000000.0000,1055000.0000,965000.0000,55000.0000,0.0659
ijk_ikj_750_150,2094600000.0000,716800000.0000,589000000.0000,0.0000,0.0000,816500000.0000,15960000.0000,11960000.0000,1075000.0000,1045000.0000,25000.0000,0.0795
ijk_ikj_700_25,2041600000.0000,558000000.0000,461200000.0000,60000.0000,0.0000,767480000.0000,1980000.0000,500000.0000,920000.0000,885000.0000,5000.0000,0.0433
ijk_ikj_700_20,2024400000.0000,573000000.0000,473000000.0000,60000.0000,0.0000,695620000.0000,1780000.0000,520000.0000,1180000.0000,1160000.0000,0.0000,0.0459
